,Combination,P2,P3,P4,P5,P6,P7,P8,P9
0,pGPD-TATA_OP-UAS_AAA,0,0,0,0,0,0,0,0
1,pGPD-TATA_OP-UAS_AAB,0,0,0,0,0,0,0,0
2,pGPD-TATA_OP-UAS_AAC,1,8,43,14,21,36,37,6
3,pGPD-TATA_OP-UAS_AAD,0,0,0,0,0,9,2,0
4,pGPD-TATA_OP-UAS_AAE,0,0,0,0,0,0,2,3
5,pGPD-TATA_OP-UAS_AAF,0,4,1,0,14,32,8,1
6,pGPD-TATA_OP-UAS_ABA,0,0,0,0,0,0,0,0
7,pGPD-TATA_OP-UAS_ABB,0,0,0,0,0,0,0,0
8,pGPD-TATA_OP-UAS_ABC,3,6,23,2,47,59,62,7
9,pGPD-TATA_OP-UAS_ABD,1,9,22,0,15,14,23,26
10,pGPD-TATA_OP-UAS_ABE,0,0,1,0,0,6,0,1
11,pGPD-TATA_OP-UAS_ABF,0,5,9,0,3,30,8,5
12,pGPD-TATA_OP-UAS_ACA,0,0,1,0,0,0,0,0
13,pGPD-TATA_OP-UAS_ACB,0,0,0,0,0,0,0,0
14,pGPD-TATA_OP-UAS_ACC,0,12,13,2,24,22,5,7
15,pGPD-TATA_OP-UAS_ACD,0,6,4,0,5,32,5,8
16,pGPD-TATA_OP-UAS_ACE,0,4,0,0,7,3,2,0
17,pGPD-TATA_OP-UAS_ACF,0,1,6,1,6,31,10,8
18,pGPD-TATA_OP-UAS_ADA,0,0,0,0,0,0,0,0
19,pGPD-TATA_OP-UAS_ADB,0,0,0,0,0,0,0,0
20,pGPD-TATA_OP-UAS_ADC,3,17,60,12,33,88,9,22
21,pGPD-TATA_OP-UAS_ADD,0,0,2,3,4,2,9,0
22,pGPD-TATA_OP-UAS_ADE,0,0,3,0,0,1,1,0
23,pGPD-TATA_OP-UAS_ADF,0,4,4,0,4,16,4,12
24,pGPD-TATA_OP-UAS_AEA,0,0,1,0,0,0,0,0
25,pGPD-TATA_OP-UAS_AEB,0,0,0,0,0,0,0,0
26,pGPD-TATA_OP-UAS_AEC,0,7,9,1,14,18,1,3
