,Combination,P2,P3,P4,P5,P6,P7,P8,P9
0,pGPD-TATA_OP-UAS_AAA,0,0,0,0,0,0,0,0
1,pGPD-TATA_OP-UAS_AAB,0,0,0,0,0,0,0,0
2,pGPD-TATA_OP-UAS_AAC,5,1,30,5,28,20,0,0
3,pGPD-TATA_OP-UAS_AAD,0,0,4,0,0,5,0,1
4,pGPD-TATA_OP-UAS_AAE,0,0,0,0,0,0,0,0
5,pGPD-TATA_OP-UAS_AAF,0,3,1,2,11,14,3,2
6,pGPD-TATA_OP-UAS_ABA,0,0,0,0,0,0,0,0
7,pGPD-TATA_OP-UAS_ABB,0,0,0,0,0,0,0,0
8,pGPD-TATA_OP-UAS_ABC,4,5,21,13,35,26,35,2
9,pGPD-TATA_OP-UAS_ABD,0,9,19,5,17,2,7,4
10,pGPD-TATA_OP-UAS_ABE,0,0,0,0,0,0,0,0
11,pGPD-TATA_OP-UAS_ABF,0,5,8,1,4,13,6,2
12,pGPD-TATA_OP-UAS_ACA,0,0,0,0,0,0,0,0
13,pGPD-TATA_OP-UAS_ACB,0,0,0,0,0,0,0,0
14,pGPD-TATA_OP-UAS_ACC,1,9,5,10,24,5,7,2
15,pGPD-TATA_OP-UAS_ACD,0,7,2,0,5,24,1,1
16,pGPD-TATA_OP-UAS_ACE,1,1,0,0,2,1,0,0
17,pGPD-TATA_OP-UAS_ACF,1,2,1,0,4,7,24,2
18,pGPD-TATA_OP-UAS_ADA,0,0,0,0,0,0,0,0
19,pGPD-TATA_OP-UAS_ADB,0,0,0,0,0,0,0,0
20,pGPD-TATA_OP-UAS_ADC,2,29,32,23,64,56,1,3
21,pGPD-TATA_OP-UAS_ADD,0,1,1,0,1,1,6,1
22,pGPD-TATA_OP-UAS_ADE,0,0,0,0,0,1,0,1
23,pGPD-TATA_OP-UAS_ADF,0,3,5,1,1,5,1,4
24,pGPD-TATA_OP-UAS_AEA,0,0,0,1,0,0,0,0
25,pGPD-TATA_OP-UAS_AEB,0,0,0,0,0,0,0,0
26,pGPD-TATA_OP-UAS_AEC,0,0,5,7,12,9,0,0
