,Combination,P2,P3,P4,P5,P6,P7,P8,P9
0,pGPD-TATA_OP-UAS_AAA,0,0,0,0,0,0,0,0
1,pGPD-TATA_OP-UAS_AAB,0,0,0,0,0,0,0,0
2,pGPD-TATA_OP-UAS_AAC,1,13,24,13,33,21,4,5
3,pGPD-TATA_OP-UAS_AAD,0,1,0,0,0,12,1,1
4,pGPD-TATA_OP-UAS_AAE,0,1,1,0,0,0,2,0
5,pGPD-TATA_OP-UAS_AAF,2,4,11,3,4,33,7,3
6,pGPD-TATA_OP-UAS_ABA,0,0,0,0,0,0,0,0
7,pGPD-TATA_OP-UAS_ABB,0,0,0,0,0,0,0,0
8,pGPD-TATA_OP-UAS_ABC,4,10,22,11,52,69,47,11
9,pGPD-TATA_OP-UAS_ABD,2,14,30,8,10,42,35,21
10,pGPD-TATA_OP-UAS_ABE,0,1,5,0,0,2,0,0
11,pGPD-TATA_OP-UAS_ABF,0,8,7,0,1,27,23,8
12,pGPD-TATA_OP-UAS_ACA,0,3,0,0,0,0,2,0
13,pGPD-TATA_OP-UAS_ACB,0,0,0,0,0,0,0,0
14,pGPD-TATA_OP-UAS_ACC,1,7,6,7,16,29,5,4
15,pGPD-TATA_OP-UAS_ACD,0,1,6,0,4,33,5,3
16,pGPD-TATA_OP-UAS_ACE,0,0,2,1,0,5,1,0
17,pGPD-TATA_OP-UAS_ACF,0,4,2,1,7,17,5,4
18,pGPD-TATA_OP-UAS_ADA,0,0,0,0,0,4,0,2
19,pGPD-TATA_OP-UAS_ADB,0,0,0,0,0,0,0,0
20,pGPD-TATA_OP-UAS_ADC,2,8,29,19,39,39,21,12
21,pGPD-TATA_OP-UAS_ADD,0,6,3,4,4,6,2,3
22,pGPD-TATA_OP-UAS_ADE,0,0,0,0,0,1,1,0
23,pGPD-TATA_OP-UAS_ADF,1,4,5,3,4,22,11,5
24,pGPD-TATA_OP-UAS_AEA,2,0,1,0,2,0,0,1
25,pGPD-TATA_OP-UAS_AEB,0,0,0,0,0,0,0,0
26,pGPD-TATA_OP-UAS_AEC,1,12,6,5,20,22,0,3
