,Combination,P2,P3,P4,P5,P6,P7,P8,P9
0,pGPD-TATA_OP-UAS_AAA,0,0,0,0,0,0,0,0
1,pGPD-TATA_OP-UAS_AAB,0,0,0,0,0,0,0,0
2,pGPD-TATA_OP-UAS_AAC,2,3,41,10,18,14,2,2
3,pGPD-TATA_OP-UAS_AAD,0,1,0,0,0,2,4,0
4,pGPD-TATA_OP-UAS_AAE,0,0,1,0,1,0,0,0
5,pGPD-TATA_OP-UAS_AAF,0,6,6,1,8,13,5,3
6,pGPD-TATA_OP-UAS_ABA,0,0,0,0,0,0,0,0
7,pGPD-TATA_OP-UAS_ABB,0,0,0,0,0,0,0,0
8,pGPD-TATA_OP-UAS_ABC,1,8,23,18,19,29,11,6
9,pGPD-TATA_OP-UAS_ABD,0,24,7,4,10,6,20,23
10,pGPD-TATA_OP-UAS_ABE,0,0,0,0,0,0,0,3
11,pGPD-TATA_OP-UAS_ABF,0,5,8,1,2,8,7,4
12,pGPD-TATA_OP-UAS_ACA,0,0,3,0,0,0,0,0
13,pGPD-TATA_OP-UAS_ACB,0,0,0,0,0,0,0,0
14,pGPD-TATA_OP-UAS_ACC,0,7,11,5,11,10,7,1
15,pGPD-TATA_OP-UAS_ACD,0,2,3,0,7,7,8,2
16,pGPD-TATA_OP-UAS_ACE,0,0,1,1,2,0,0,0
17,pGPD-TATA_OP-UAS_ACF,1,2,0,2,0,6,13,5
18,pGPD-TATA_OP-UAS_ADA,0,0,0,0,0,2,2,1
19,pGPD-TATA_OP-UAS_ADB,0,0,0,0,0,0,0,0
20,pGPD-TATA_OP-UAS_ADC,0,9,48,19,35,40,7,1
21,pGPD-TATA_OP-UAS_ADD,0,4,0,0,1,0,2,4
22,pGPD-TATA_OP-UAS_ADE,0,0,0,0,0,0,0,1
23,pGPD-TATA_OP-UAS_ADF,0,4,2,2,2,9,7,0
24,pGPD-TATA_OP-UAS_AEA,1,0,0,0,0,0,1,1
25,pGPD-TATA_OP-UAS_AEB,0,0,0,0,0,0,0,0
26,pGPD-TATA_OP-UAS_AEC,0,2,4,8,7,10,0,1
