,Combination,P2,P3,P4,P5,P6,P7,P8,P9
0,pGPD-TATA_OP-UAS_AAA,0,0,0,0,0,0,0,0
1,pGPD-TATA_OP-UAS_AAB,0,0,0,0,0,0,0,0
2,pGPD-TATA_OP-UAS_AAC,1,2,22,11,9,31,9,1
3,pGPD-TATA_OP-UAS_AAD,0,0,1,0,0,5,4,0
4,pGPD-TATA_OP-UAS_AAE,0,0,0,0,0,0,3,0
5,pGPD-TATA_OP-UAS_AAF,0,4,4,0,4,14,21,2
6,pGPD-TATA_OP-UAS_ABA,0,0,0,0,0,0,0,0
7,pGPD-TATA_OP-UAS_ABB,0,0,0,0,0,0,0,0
8,pGPD-TATA_OP-UAS_ABC,2,4,29,12,33,32,82,5
9,pGPD-TATA_OP-UAS_ABD,0,10,11,2,9,10,8,13
10,pGPD-TATA_OP-UAS_ABE,0,2,0,0,0,1,0,3
11,pGPD-TATA_OP-UAS_ABF,1,9,1,1,3,14,3,6
12,pGPD-TATA_OP-UAS_ACA,0,0,1,0,0,0,0,0
13,pGPD-TATA_OP-UAS_ACB,0,0,0,0,0,0,0,0
14,pGPD-TATA_OP-UAS_ACC,0,1,2,1,21,11,10,0
15,pGPD-TATA_OP-UAS_ACD,0,2,4,0,0,9,3,0
16,pGPD-TATA_OP-UAS_ACE,0,0,0,1,0,1,0,0
17,pGPD-TATA_OP-UAS_ACF,0,1,1,0,1,12,25,4
18,pGPD-TATA_OP-UAS_ADA,0,0,0,1,0,5,0,0
19,pGPD-TATA_OP-UAS_ADB,0,0,0,0,0,0,0,0
20,pGPD-TATA_OP-UAS_ADC,1,12,27,10,22,78,11,8
21,pGPD-TATA_OP-UAS_ADD,0,0,4,0,1,1,2,1
22,pGPD-TATA_OP-UAS_ADE,0,0,0,0,0,0,0,0
23,pGPD-TATA_OP-UAS_ADF,0,2,4,0,4,20,3,2
24,pGPD-TATA_OP-UAS_AEA,0,0,0,0,0,0,1,1
25,pGPD-TATA_OP-UAS_AEB,0,0,0,0,0,0,0,0
26,pGPD-TATA_OP-UAS_AEC,0,2,4,10,10,6,2,1
