,Combination,P2,P3,P4,P5,P6,P7,P8,P9
0,pGPD-TATA_OP-UAS_AAA,0,0,0,0,0,0,0,0
1,pGPD-TATA_OP-UAS_AAB,0,0,0,0,0,0,0,0
2,pGPD-TATA_OP-UAS_AAC,1,4,23,3,19,23,7,3
3,pGPD-TATA_OP-UAS_AAD,0,0,0,0,0,5,0,0
4,pGPD-TATA_OP-UAS_AAE,0,0,0,0,0,0,1,0
5,pGPD-TATA_OP-UAS_AAF,1,1,3,0,6,9,5,1
6,pGPD-TATA_OP-UAS_ABA,0,0,0,0,0,0,0,0
7,pGPD-TATA_OP-UAS_ABB,0,0,0,0,0,0,0,0
8,pGPD-TATA_OP-UAS_ABC,1,8,20,15,14,44,20,1
9,pGPD-TATA_OP-UAS_ABD,0,10,5,2,10,6,11,5
10,pGPD-TATA_OP-UAS_ABE,0,0,1,0,0,0,2,0
11,pGPD-TATA_OP-UAS_ABF,0,0,1,0,2,11,1,0
12,pGPD-TATA_OP-UAS_ACA,0,1,2,0,1,0,0,0
13,pGPD-TATA_OP-UAS_ACB,0,0,0,0,0,0,0,0
14,pGPD-TATA_OP-UAS_ACC,0,6,4,5,20,9,1,2
15,pGPD-TATA_OP-UAS_ACD,1,1,0,0,1,9,1,0
16,pGPD-TATA_OP-UAS_ACE,0,0,0,0,1,0,0,1
17,pGPD-TATA_OP-UAS_ACF,0,1,6,1,1,9,12,1
18,pGPD-TATA_OP-UAS_ADA,0,0,0,0,0,2,1,1
19,pGPD-TATA_OP-UAS_ADB,0,0,0,0,0,0,0,0
20,pGPD-TATA_OP-UAS_ADC,0,7,34,4,25,55,15,7
21,pGPD-TATA_OP-UAS_ADD,0,0,0,0,1,3,12,0
22,pGPD-TATA_OP-UAS_ADE,0,2,0,0,0,0,0,0
23,pGPD-TATA_OP-UAS_ADF,0,6,1,1,4,10,5,0
24,pGPD-TATA_OP-UAS_AEA,0,0,0,0,0,0,0,0
25,pGPD-TATA_OP-UAS_AEB,0,0,0,0,0,0,0,0
26,pGPD-TATA_OP-UAS_AEC,0,2,5,4,9,4,0,1
