,Combination,P2,P3,P4,P5,P6,P7,P8,P9
0,pGPD-TATA_OP-UAS_AAA,0,0,0,0,0,0,0,0
1,pGPD-TATA_OP-UAS_AAB,0,0,0,0,0,0,0,0
2,pGPD-TATA_OP-UAS_AAC,1,4,11,7,32,15,26,13
3,pGPD-TATA_OP-UAS_AAD,0,1,1,0,0,9,1,1
4,pGPD-TATA_OP-UAS_AAE,0,1,1,0,0,0,0,0
5,pGPD-TATA_OP-UAS_AAF,1,9,10,0,10,58,5,4
6,pGPD-TATA_OP-UAS_ABA,0,0,0,0,0,0,0,1
7,pGPD-TATA_OP-UAS_ABB,0,0,0,0,0,0,0,0
8,pGPD-TATA_OP-UAS_ABC,0,11,13,22,37,54,16,18
9,pGPD-TATA_OP-UAS_ABD,0,18,19,4,14,20,27,29
10,pGPD-TATA_OP-UAS_ABE,0,0,0,1,0,3,1,0
11,pGPD-TATA_OP-UAS_ABF,0,5,8,0,0,25,13,4
12,pGPD-TATA_OP-UAS_ACA,0,0,0,0,0,1,0,0
13,pGPD-TATA_OP-UAS_ACB,0,0,0,0,0,0,0,0
14,pGPD-TATA_OP-UAS_ACC,0,2,7,2,11,36,15,6
15,pGPD-TATA_OP-UAS_ACD,0,0,7,0,0,27,7,0
16,pGPD-TATA_OP-UAS_ACE,0,0,0,1,4,0,0,0
17,pGPD-TATA_OP-UAS_ACF,0,0,6,1,2,26,12,4
18,pGPD-TATA_OP-UAS_ADA,0,0,0,0,0,4,2,2
19,pGPD-TATA_OP-UAS_ADB,0,0,0,0,0,0,0,0
20,pGPD-TATA_OP-UAS_ADC,1,13,17,23,30,32,46,18
21,pGPD-TATA_OP-UAS_ADD,0,1,2,5,0,3,12,7
22,pGPD-TATA_OP-UAS_ADE,0,0,0,0,0,0,1,0
23,pGPD-TATA_OP-UAS_ADF,1,8,3,6,3,24,11,4
24,pGPD-TATA_OP-UAS_AEA,0,0,0,0,1,0,3,0
25,pGPD-TATA_OP-UAS_AEB,0,0,0,0,0,1,0,0
26,pGPD-TATA_OP-UAS_AEC,2,3,4,9,17,21,2,1
