,Combination,P2,P3,P4,P5,P6,P7,P8,P9
0,pGPD-TATA_OP-UAS_AAA,0,0,0,0,0,0,0,0
1,pGPD-TATA_OP-UAS_AAB,0,0,0,0,0,0,0,0
2,pGPD-TATA_OP-UAS_AAC,2,2,37,5,29,17,4,1
3,pGPD-TATA_OP-UAS_AAD,0,1,1,0,0,1,0,2
4,pGPD-TATA_OP-UAS_AAE,0,1,0,0,0,1,4,1
5,pGPD-TATA_OP-UAS_AAF,0,7,3,2,19,19,7,2
6,pGPD-TATA_OP-UAS_ABA,0,0,0,0,0,0,0,0
7,pGPD-TATA_OP-UAS_ABB,0,0,0,0,0,0,0,0
8,pGPD-TATA_OP-UAS_ABC,0,6,24,10,46,32,19,4
9,pGPD-TATA_OP-UAS_ABD,3,7,14,1,6,9,26,41
10,pGPD-TATA_OP-UAS_ABE,0,1,0,0,2,0,0,0
11,pGPD-TATA_OP-UAS_ABF,0,3,9,3,2,11,9,5
12,pGPD-TATA_OP-UAS_ACA,0,0,0,0,0,1,0,0
13,pGPD-TATA_OP-UAS_ACB,0,0,0,0,0,0,0,0
14,pGPD-TATA_OP-UAS_ACC,0,5,7,12,20,22,0,3
15,pGPD-TATA_OP-UAS_ACD,0,2,7,0,4,10,9,4
16,pGPD-TATA_OP-UAS_ACE,0,0,1,0,4,1,2,1
17,pGPD-TATA_OP-UAS_ACF,0,1,1,1,2,10,45,4
18,pGPD-TATA_OP-UAS_ADA,0,0,0,0,0,1,0,0
19,pGPD-TATA_OP-UAS_ADB,0,0,0,0,0,0,0,0
20,pGPD-TATA_OP-UAS_ADC,0,5,30,10,84,49,2,2
21,pGPD-TATA_OP-UAS_ADD,0,0,1,0,0,0,3,2
22,pGPD-TATA_OP-UAS_ADE,0,0,0,0,0,0,0,2
23,pGPD-TATA_OP-UAS_ADF,0,1,0,0,7,21,8,7
24,pGPD-TATA_OP-UAS_AEA,0,0,1,0,1,3,0,0
25,pGPD-TATA_OP-UAS_AEB,0,0,0,0,0,0,0,0
26,pGPD-TATA_OP-UAS_AEC,4,2,2,14,5,15,4,0
