,Combination,P2,P3,P4,P5,P6,P7,P8,P9
0,pGPD-TATA_OP-UAS_AAA,0,0,0,0,0,0,0,0
1,pGPD-TATA_OP-UAS_AAB,0,0,0,0,0,0,0,0
2,pGPD-TATA_OP-UAS_AAC,0,9,36,6,16,21,7,2
3,pGPD-TATA_OP-UAS_AAD,0,1,0,0,0,2,0,0
4,pGPD-TATA_OP-UAS_AAE,0,0,0,0,0,0,13,1
5,pGPD-TATA_OP-UAS_AAF,2,4,4,0,5,2,7,0
6,pGPD-TATA_OP-UAS_ABA,0,0,0,0,0,0,0,0
7,pGPD-TATA_OP-UAS_ABB,0,0,0,0,0,0,0,0
8,pGPD-TATA_OP-UAS_ABC,2,4,19,6,17,29,13,2
9,pGPD-TATA_OP-UAS_ABD,1,20,18,1,5,4,12,17
10,pGPD-TATA_OP-UAS_ABE,0,0,0,0,0,0,4,0
11,pGPD-TATA_OP-UAS_ABF,0,0,3,1,1,1,3,5
12,pGPD-TATA_OP-UAS_ACA,0,0,0,0,0,0,0,0
13,pGPD-TATA_OP-UAS_ACB,0,0,0,0,0,0,0,0
14,pGPD-TATA_OP-UAS_ACC,3,7,3,2,14,2,4,3
15,pGPD-TATA_OP-UAS_ACD,0,4,4,0,0,8,6,0
16,pGPD-TATA_OP-UAS_ACE,0,0,0,0,3,1,0,0
17,pGPD-TATA_OP-UAS_ACF,0,1,1,1,2,3,10,1
18,pGPD-TATA_OP-UAS_ADA,0,1,0,0,0,0,0,4
19,pGPD-TATA_OP-UAS_ADB,0,0,0,0,0,0,0,0
20,pGPD-TATA_OP-UAS_ADC,3,15,39,8,25,23,9,5
21,pGPD-TATA_OP-UAS_ADD,0,1,0,0,0,0,2,1
22,pGPD-TATA_OP-UAS_ADE,0,0,0,0,0,0,0,0
23,pGPD-TATA_OP-UAS_ADF,0,1,2,0,0,6,4,3
24,pGPD-TATA_OP-UAS_AEA,0,3,1,0,0,1,0,2
25,pGPD-TATA_OP-UAS_AEB,0,0,0,0,0,0,0,0
26,pGPD-TATA_OP-UAS_AEC,0,3,14,7,2,1,2,2
