,Combination,P2,P3,P4,P5,P6,P7,P8,P9
0,pGPD-TATA_OP-UAS_AAA,0,0,0,0,0,0,0,0
1,pGPD-TATA_OP-UAS_AAB,0,0,0,0,0,0,0,0
2,pGPD-TATA_OP-UAS_AAC,2,8,38,2,10,20,3,2
3,pGPD-TATA_OP-UAS_AAD,0,0,2,0,1,5,0,0
4,pGPD-TATA_OP-UAS_AAE,0,2,0,0,0,0,0,0
5,pGPD-TATA_OP-UAS_AAF,0,5,7,3,7,4,4,0
6,pGPD-TATA_OP-UAS_ABA,0,0,0,0,0,0,0,0
7,pGPD-TATA_OP-UAS_ABB,0,0,0,0,0,0,0,0
8,pGPD-TATA_OP-UAS_ABC,3,6,21,7,8,64,27,4
9,pGPD-TATA_OP-UAS_ABD,3,5,11,1,6,1,21,22
10,pGPD-TATA_OP-UAS_ABE,0,0,0,0,0,0,1,0
11,pGPD-TATA_OP-UAS_ABF,0,3,4,1,3,2,6,6
12,pGPD-TATA_OP-UAS_ACA,0,0,2,0,0,1,0,0
13,pGPD-TATA_OP-UAS_ACB,0,0,0,0,0,0,0,0
14,pGPD-TATA_OP-UAS_ACC,0,2,5,2,15,16,3,0
15,pGPD-TATA_OP-UAS_ACD,0,0,0,1,4,6,16,2
16,pGPD-TATA_OP-UAS_ACE,0,0,0,0,0,1,0,0
17,pGPD-TATA_OP-UAS_ACF,0,8,6,2,2,12,7,2
18,pGPD-TATA_OP-UAS_ADA,0,1,0,0,0,1,0,0
19,pGPD-TATA_OP-UAS_ADB,0,0,0,0,0,0,0,0
20,pGPD-TATA_OP-UAS_ADC,4,12,40,5,27,53,3,2
21,pGPD-TATA_OP-UAS_ADD,0,7,0,0,1,0,23,3
22,pGPD-TATA_OP-UAS_ADE,0,0,0,0,0,0,0,0
23,pGPD-TATA_OP-UAS_ADF,1,3,3,0,3,5,3,0
24,pGPD-TATA_OP-UAS_AEA,0,0,0,0,0,0,0,0
25,pGPD-TATA_OP-UAS_AEB,0,0,0,0,0,0,0,0
26,pGPD-TATA_OP-UAS_AEC,0,6,7,10,4,6,4,0
