,Combination,P2,P3,P4,P5,P6,P7,P8,P9
0,pGPD-TATA_OP-UAS_AAA,0,0,0,0,0,0,0,0
1,pGPD-TATA_OP-UAS_AAB,0,0,0,0,0,0,0,0
2,pGPD-TATA_OP-UAS_AAC,2,6,22,3,9,22,15,1
3,pGPD-TATA_OP-UAS_AAD,0,1,0,0,0,8,3,0
4,pGPD-TATA_OP-UAS_AAE,0,0,0,0,1,0,0,0
5,pGPD-TATA_OP-UAS_AAF,0,3,4,10,4,8,8,2
6,pGPD-TATA_OP-UAS_ABA,0,0,0,0,0,0,0,0
7,pGPD-TATA_OP-UAS_ABB,0,0,0,0,0,0,0,0
8,pGPD-TATA_OP-UAS_ABC,0,6,19,13,18,31,31,5
9,pGPD-TATA_OP-UAS_ABD,0,14,14,0,9,10,10,28
10,pGPD-TATA_OP-UAS_ABE,0,2,0,0,2,2,1,3
11,pGPD-TATA_OP-UAS_ABF,0,6,7,3,1,13,1,2
12,pGPD-TATA_OP-UAS_ACA,0,0,0,0,0,2,0,1
13,pGPD-TATA_OP-UAS_ACB,0,0,0,0,0,0,0,0
14,pGPD-TATA_OP-UAS_ACC,1,7,5,2,11,19,6,2
15,pGPD-TATA_OP-UAS_ACD,1,8,0,2,0,6,2,4
16,pGPD-TATA_OP-UAS_ACE,0,0,0,1,0,3,0,0
17,pGPD-TATA_OP-UAS_ACF,0,2,3,0,0,10,8,5
18,pGPD-TATA_OP-UAS_ADA,0,0,1,0,1,1,3,0
19,pGPD-TATA_OP-UAS_ADB,0,0,0,0,0,0,0,0
20,pGPD-TATA_OP-UAS_ADC,5,7,30,11,10,38,14,7
21,pGPD-TATA_OP-UAS_ADD,0,1,7,0,1,2,10,3
22,pGPD-TATA_OP-UAS_ADE,0,0,0,0,0,0,0,0
23,pGPD-TATA_OP-UAS_ADF,2,1,2,2,0,14,5,3
24,pGPD-TATA_OP-UAS_AEA,0,0,0,2,0,0,0,2
25,pGPD-TATA_OP-UAS_AEB,0,0,0,0,0,0,0,0
26,pGPD-TATA_OP-UAS_AEC,1,12,6,10,13,8,4,0
