,Combination,P2,P3,P4,P5,P6,P7,P8,P9
0,pGPD-TATA_OP-UAS_AAA,0,0,0,0,0,0,0,0
1,pGPD-TATA_OP-UAS_AAB,0,0,0,0,0,0,0,0
2,pGPD-TATA_OP-UAS_AAC,3,5,31,8,12,8,6,1
3,pGPD-TATA_OP-UAS_AAD,0,0,0,0,0,0,0,0
4,pGPD-TATA_OP-UAS_AAE,0,0,1,1,0,0,2,3
5,pGPD-TATA_OP-UAS_AAF,1,5,4,0,6,5,6,0
6,pGPD-TATA_OP-UAS_ABA,0,0,0,0,0,0,0,0
7,pGPD-TATA_OP-UAS_ABB,0,0,0,0,0,0,0,0
8,pGPD-TATA_OP-UAS_ABC,3,3,20,19,22,37,16,5
9,pGPD-TATA_OP-UAS_ABD,3,18,17,0,3,4,20,28
10,pGPD-TATA_OP-UAS_ABE,0,0,0,3,0,0,0,1
11,pGPD-TATA_OP-UAS_ABF,3,5,4,0,4,15,7,3
12,pGPD-TATA_OP-UAS_ACA,0,0,0,0,0,1,0,1
13,pGPD-TATA_OP-UAS_ACB,0,0,0,0,0,0,0,0
14,pGPD-TATA_OP-UAS_ACC,1,0,8,9,8,10,4,1
15,pGPD-TATA_OP-UAS_ACD,0,6,2,1,11,5,11,1
16,pGPD-TATA_OP-UAS_ACE,0,0,1,1,2,0,0,0
17,pGPD-TATA_OP-UAS_ACF,0,2,4,1,0,2,24,7
18,pGPD-TATA_OP-UAS_ADA,0,0,0,0,0,0,0,0
19,pGPD-TATA_OP-UAS_ADB,0,0,0,0,0,0,0,0
20,pGPD-TATA_OP-UAS_ADC,0,7,51,13,52,38,6,2
21,pGPD-TATA_OP-UAS_ADD,0,1,2,0,0,0,3,3
22,pGPD-TATA_OP-UAS_ADE,0,0,1,0,0,0,0,0
23,pGPD-TATA_OP-UAS_ADF,0,3,4,3,3,4,1,4
24,pGPD-TATA_OP-UAS_AEA,0,1,0,0,0,1,1,1
25,pGPD-TATA_OP-UAS_AEB,0,0,0,0,0,0,0,0
26,pGPD-TATA_OP-UAS_AEC,0,5,10,7,3,10,2,1
