,Combination,P2,P3,P4,P5,P6,P7,P8,P9
0,pGPD-TATA_OP-UAS_AAA,0,0,0,0,0,0,0,0
1,pGPD-TATA_OP-UAS_AAB,0,0,0,0,0,0,0,0
2,pGPD-TATA_OP-UAS_AAC,0,2,13,4,14,13,2,5
3,pGPD-TATA_OP-UAS_AAD,0,1,1,1,0,5,1,0
4,pGPD-TATA_OP-UAS_AAE,0,0,0,0,1,1,2,0
5,pGPD-TATA_OP-UAS_AAF,1,1,8,2,2,15,2,1
6,pGPD-TATA_OP-UAS_ABA,0,0,0,0,0,0,0,0
7,pGPD-TATA_OP-UAS_ABB,0,0,0,0,1,0,0,0
8,pGPD-TATA_OP-UAS_ABC,5,7,14,18,36,54,9,10
9,pGPD-TATA_OP-UAS_ABD,6,8,20,6,13,27,17,13
10,pGPD-TATA_OP-UAS_ABE,0,2,1,0,0,2,0,0
11,pGPD-TATA_OP-UAS_ABF,1,2,6,0,1,14,7,2
12,pGPD-TATA_OP-UAS_ACA,0,0,0,0,0,1,1,1
13,pGPD-TATA_OP-UAS_ACB,0,0,0,0,0,0,0,0
14,pGPD-TATA_OP-UAS_ACC,0,2,2,6,22,32,6,7
15,pGPD-TATA_OP-UAS_ACD,0,0,1,1,1,23,5,6
16,pGPD-TATA_OP-UAS_ACE,0,0,1,0,0,5,1,0
17,pGPD-TATA_OP-UAS_ACF,0,2,2,0,2,29,1,6
18,pGPD-TATA_OP-UAS_ADA,0,0,0,0,0,1,0,0
19,pGPD-TATA_OP-UAS_ADB,0,0,0,0,0,0,0,0
20,pGPD-TATA_OP-UAS_ADC,2,10,25,15,20,36,6,14
21,pGPD-TATA_OP-UAS_ADD,0,2,1,2,2,8,2,1
22,pGPD-TATA_OP-UAS_ADE,0,0,0,0,0,0,0,0
23,pGPD-TATA_OP-UAS_ADF,2,4,3,1,2,20,8,4
24,pGPD-TATA_OP-UAS_AEA,0,1,0,1,0,0,2,4
25,pGPD-TATA_OP-UAS_AEB,0,0,0,0,0,0,0,0
26,pGPD-TATA_OP-UAS_AEC,0,4,1,9,24,17,2,1
