,Combination,P2,P3,P4,P5,P6,P7,P8,P9
0,pGPD-TATA_OP-UAS_AAA,0,0,0,0,0,0,0,0
1,pGPD-TATA_OP-UAS_AAB,0,0,0,0,0,0,0,0
2,pGPD-TATA_OP-UAS_AAC,1,2,24,5,9,19,9,2
3,pGPD-TATA_OP-UAS_AAD,0,0,0,0,0,3,2,0
4,pGPD-TATA_OP-UAS_AAE,0,0,0,0,0,0,1,0
5,pGPD-TATA_OP-UAS_AAF,0,5,3,0,10,8,16,3
6,pGPD-TATA_OP-UAS_ABA,0,0,0,0,0,0,0,0
7,pGPD-TATA_OP-UAS_ABB,0,0,0,0,0,0,0,0
8,pGPD-TATA_OP-UAS_ABC,1,22,9,23,18,26,92,3
9,pGPD-TATA_OP-UAS_ABD,3,21,7,1,15,2,15,28
10,pGPD-TATA_OP-UAS_ABE,0,0,0,0,0,1,2,1
11,pGPD-TATA_OP-UAS_ABF,0,6,7,0,1,12,9,5
12,pGPD-TATA_OP-UAS_ACA,0,0,0,0,0,0,0,0
13,pGPD-TATA_OP-UAS_ACB,0,0,0,0,0,0,0,0
14,pGPD-TATA_OP-UAS_ACC,1,5,7,4,18,28,18,0
15,pGPD-TATA_OP-UAS_ACD,0,3,3,0,0,11,1,0
16,pGPD-TATA_OP-UAS_ACE,0,1,1,0,0,0,0,0
17,pGPD-TATA_OP-UAS_ACF,0,2,1,1,2,6,32,6
18,pGPD-TATA_OP-UAS_ADA,0,0,0,0,0,2,0,2
19,pGPD-TATA_OP-UAS_ADB,0,0,0,0,0,0,0,0
20,pGPD-TATA_OP-UAS_ADC,1,9,40,7,42,84,14,5
21,pGPD-TATA_OP-UAS_ADD,1,2,0,0,3,1,1,2
22,pGPD-TATA_OP-UAS_ADE,0,0,1,0,0,1,0,0
23,pGPD-TATA_OP-UAS_ADF,1,5,4,2,2,11,3,4
24,pGPD-TATA_OP-UAS_AEA,0,0,0,0,0,1,0,0
25,pGPD-TATA_OP-UAS_AEB,0,0,0,0,0,0,0,0
26,pGPD-TATA_OP-UAS_AEC,0,1,10,6,7,8,3,3
