,Combination,P2,P3,P4,P5,P6,P7,P8,P9
0,pGPD-TATA_OP-UAS_AAA,0,0,0,0,0,0,0,0
1,pGPD-TATA_OP-UAS_AAB,0,0,0,0,0,0,0,0
2,pGPD-TATA_OP-UAS_AAC,2,2,24,6,9,15,5,1
3,pGPD-TATA_OP-UAS_AAD,0,0,1,0,1,0,0,0
4,pGPD-TATA_OP-UAS_AAE,0,0,0,0,0,0,0,1
5,pGPD-TATA_OP-UAS_AAF,0,10,2,2,13,6,3,0
6,pGPD-TATA_OP-UAS_ABA,0,0,0,0,0,0,0,0
7,pGPD-TATA_OP-UAS_ABB,0,0,0,0,0,0,0,0
8,pGPD-TATA_OP-UAS_ABC,0,2,32,17,41,32,19,2
9,pGPD-TATA_OP-UAS_ABD,0,11,17,8,10,3,7,11
10,pGPD-TATA_OP-UAS_ABE,0,0,0,0,0,0,0,0
11,pGPD-TATA_OP-UAS_ABF,0,1,0,4,2,5,0,2
12,pGPD-TATA_OP-UAS_ACA,0,1,0,0,3,1,0,0
13,pGPD-TATA_OP-UAS_ACB,0,0,0,0,0,0,0,0
14,pGPD-TATA_OP-UAS_ACC,0,4,6,17,20,12,15,0
15,pGPD-TATA_OP-UAS_ACD,0,3,2,2,5,23,3,0
16,pGPD-TATA_OP-UAS_ACE,0,1,0,2,4,0,1,0
17,pGPD-TATA_OP-UAS_ACF,1,4,6,0,2,6,29,0
18,pGPD-TATA_OP-UAS_ADA,0,0,0,0,2,4,1,1
19,pGPD-TATA_OP-UAS_ADB,0,0,0,0,0,0,0,0
20,pGPD-TATA_OP-UAS_ADC,0,8,48,13,69,50,8,4
21,pGPD-TATA_OP-UAS_ADD,0,1,1,0,4,0,1,0
22,pGPD-TATA_OP-UAS_ADE,0,0,0,0,0,1,0,2
23,pGPD-TATA_OP-UAS_ADF,1,3,2,0,7,6,3,0
24,pGPD-TATA_OP-UAS_AEA,0,0,1,0,0,0,0,0
25,pGPD-TATA_OP-UAS_AEB,0,0,0,0,0,0,0,0
26,pGPD-TATA_OP-UAS_AEC,3,5,2,6,8,9,1,0
