,Combination,P2,P3,P4,P5,P6,P7,P8,P9
0,pGPD-TATA_OP-UAS_AAA,0,0,0,0,0,0,0,0
1,pGPD-TATA_OP-UAS_AAB,0,0,0,0,0,0,0,0
2,pGPD-TATA_OP-UAS_AAC,0,3,16,3,26,11,2,0
3,pGPD-TATA_OP-UAS_AAD,0,0,0,0,0,0,2,0
4,pGPD-TATA_OP-UAS_AAE,0,0,0,0,0,1,1,0
5,pGPD-TATA_OP-UAS_AAF,0,2,3,0,8,7,4,1
6,pGPD-TATA_OP-UAS_ABA,0,0,0,0,0,0,1,0
7,pGPD-TATA_OP-UAS_ABB,0,0,0,0,0,0,0,0
8,pGPD-TATA_OP-UAS_ABC,1,1,8,17,38,31,14,2
9,pGPD-TATA_OP-UAS_ABD,0,6,1,0,9,10,15,24
10,pGPD-TATA_OP-UAS_ABE,0,0,1,1,0,1,0,0
11,pGPD-TATA_OP-UAS_ABF,0,0,0,1,1,4,1,1
12,pGPD-TATA_OP-UAS_ACA,0,0,1,0,0,1,0,1
13,pGPD-TATA_OP-UAS_ACB,0,0,0,0,0,0,0,0
14,pGPD-TATA_OP-UAS_ACC,1,3,10,4,15,19,1,0
15,pGPD-TATA_OP-UAS_ACD,0,0,2,0,4,8,2,4
16,pGPD-TATA_OP-UAS_ACE,0,0,0,0,0,0,0,0
17,pGPD-TATA_OP-UAS_ACF,0,0,4,1,3,10,30,3
18,pGPD-TATA_OP-UAS_ADA,0,0,1,0,0,0,0,0
19,pGPD-TATA_OP-UAS_ADB,0,0,0,0,0,0,0,0
20,pGPD-TATA_OP-UAS_ADC,1,8,22,10,62,35,4,0
21,pGPD-TATA_OP-UAS_ADD,0,4,1,0,0,1,2,2
22,pGPD-TATA_OP-UAS_ADE,0,0,0,0,0,0,0,0
23,pGPD-TATA_OP-UAS_ADF,0,1,3,0,0,12,4,9
24,pGPD-TATA_OP-UAS_AEA,0,1,2,0,0,1,1,0
25,pGPD-TATA_OP-UAS_AEB,0,0,0,0,0,0,0,0
26,pGPD-TATA_OP-UAS_AEC,0,5,2,7,6,7,0,0
