,Combination,P2,P3,P4,P5,P6,P7,P8,P9
0,pGPD-TATA_OP-UAS_AAA,0,0,0,0,0,0,0,0
1,pGPD-TATA_OP-UAS_AAB,0,0,0,0,0,0,0,0
2,pGPD-TATA_OP-UAS_AAC,0,4,7,7,18,12,8,1
3,pGPD-TATA_OP-UAS_AAD,0,0,0,0,0,1,1,0
4,pGPD-TATA_OP-UAS_AAE,0,0,0,0,2,0,0,0
5,pGPD-TATA_OP-UAS_AAF,0,2,1,0,9,8,4,2
6,pGPD-TATA_OP-UAS_ABA,0,0,0,2,0,0,0,0
7,pGPD-TATA_OP-UAS_ABB,0,0,0,0,0,0,0,0
8,pGPD-TATA_OP-UAS_ABC,0,10,14,14,34,24,29,1
9,pGPD-TATA_OP-UAS_ABD,0,12,10,5,6,9,14,15
10,pGPD-TATA_OP-UAS_ABE,0,0,0,0,0,0,0,0
11,pGPD-TATA_OP-UAS_ABF,0,2,1,0,3,8,4,0
12,pGPD-TATA_OP-UAS_ACA,0,0,0,0,0,0,0,0
13,pGPD-TATA_OP-UAS_ACB,0,0,0,0,0,0,0,0
14,pGPD-TATA_OP-UAS_ACC,0,5,9,4,16,13,0,2
15,pGPD-TATA_OP-UAS_ACD,0,3,1,1,3,7,4,0
16,pGPD-TATA_OP-UAS_ACE,0,0,0,0,3,2,1,0
17,pGPD-TATA_OP-UAS_ACF,0,3,4,0,2,7,20,2
18,pGPD-TATA_OP-UAS_ADA,0,0,0,0,0,0,0,0
19,pGPD-TATA_OP-UAS_ADB,0,0,0,0,0,0,0,0
20,pGPD-TATA_OP-UAS_ADC,0,10,42,17,26,44,8,4
21,pGPD-TATA_OP-UAS_ADD,0,1,0,1,1,0,13,3
22,pGPD-TATA_OP-UAS_ADE,0,0,0,0,0,2,0,0
23,pGPD-TATA_OP-UAS_ADF,0,5,3,3,1,11,5,4
24,pGPD-TATA_OP-UAS_AEA,0,2,2,0,0,0,0,0
25,pGPD-TATA_OP-UAS_AEB,0,0,0,0,0,0,0,0
26,pGPD-TATA_OP-UAS_AEC,0,1,6,11,9,1,0,0
