,Combination,P2,P3,P4,P5,P6,P7,P8,P9
0,pGPD-TATA_OP-UAS_AAA,0,0,0,0,0,0,0,0
1,pGPD-TATA_OP-UAS_AAB,0,0,0,0,0,0,0,0
2,pGPD-TATA_OP-UAS_AAC,0,6,34,7,13,27,7,2
3,pGPD-TATA_OP-UAS_AAD,0,0,0,0,0,5,0,0
4,pGPD-TATA_OP-UAS_AAE,0,0,0,0,0,0,0,0
5,pGPD-TATA_OP-UAS_AAF,0,1,3,3,11,17,4,0
6,pGPD-TATA_OP-UAS_ABA,0,0,0,0,0,0,0,0
7,pGPD-TATA_OP-UAS_ABB,0,0,0,0,0,0,0,0
8,pGPD-TATA_OP-UAS_ABC,6,2,39,16,9,56,26,8
9,pGPD-TATA_OP-UAS_ABD,3,11,9,4,2,9,34,30
10,pGPD-TATA_OP-UAS_ABE,0,1,0,0,0,0,3,1
11,pGPD-TATA_OP-UAS_ABF,0,1,1,1,1,21,4,5
12,pGPD-TATA_OP-UAS_ACA,0,0,0,0,0,0,0,1
13,pGPD-TATA_OP-UAS_ACB,0,0,0,0,0,0,0,0
14,pGPD-TATA_OP-UAS_ACC,0,7,3,6,10,13,8,1
15,pGPD-TATA_OP-UAS_ACD,2,1,1,5,1,11,7,1
16,pGPD-TATA_OP-UAS_ACE,0,1,0,2,0,0,0,1
17,pGPD-TATA_OP-UAS_ACF,0,1,2,2,0,16,28,2
18,pGPD-TATA_OP-UAS_ADA,0,0,0,0,0,0,0,2
19,pGPD-TATA_OP-UAS_ADB,0,0,0,0,0,0,0,0
20,pGPD-TATA_OP-UAS_ADC,2,15,72,28,32,83,8,1
21,pGPD-TATA_OP-UAS_ADD,0,0,2,0,0,0,10,4
22,pGPD-TATA_OP-UAS_ADE,0,0,0,0,0,0,0,0
23,pGPD-TATA_OP-UAS_ADF,1,4,3,8,1,19,8,6
24,pGPD-TATA_OP-UAS_AEA,0,1,0,0,1,2,1,1
25,pGPD-TATA_OP-UAS_AEB,0,0,0,0,0,0,0,0
26,pGPD-TATA_OP-UAS_AEC,1,1,9,10,0,8,1,1
