,Combination,P2,P3,P4,P5,P6,P7,P8,P9
1808,pHSP12-TATA_OP-UAS_CBC,2371,2161,4559,4314,3000,1880,6,1
1809,pHSP12-TATA_OP-UAS_CBD,894,1050,1917,1642,1283,584,0,5
1810,pHSP12-TATA_OP-UAS_CBE,47,149,135,450,52,106,1,0
1811,pHSP12-TATA_OP-UAS_CBF,990,1294,1545,1647,1049,2251,4,1
1812,pHSP12-TATA_OP-UAS_CCA,108,155,303,116,175,180,0,0
1813,pHSP12-TATA_OP-UAS_CCB,0,0,0,0,2,0,0,0
1814,pHSP12-TATA_OP-UAS_CCC,1786,1730,2559,4022,1647,2090,0,1
1815,pHSP12-TATA_OP-UAS_CCD,14,18,31,20,13,22,0,0
1816,pHSP12-TATA_OP-UAS_CCE,1,3,3,3,0,3,0,0
1817,pHSP12-TATA_OP-UAS_CCF,116,132,355,160,29,74,0,0
1818,pHSP12-TATA_OP-UAS_CDA,110,109,92,376,63,214,1,1
1819,pHSP12-TATA_OP-UAS_CDB,2,0,2,5,0,6,0,0
1820,pHSP12-TATA_OP-UAS_CDC,1451,1579,4052,2234,1375,3116,1,1
1821,pHSP12-TATA_OP-UAS_CDD,187,194,400,683,191,86,0,0
1822,pHSP12-TATA_OP-UAS_CDE,70,143,253,42,228,198,0,0
1823,pHSP12-TATA_OP-UAS_CDF,1019,1306,1810,1847,816,1496,5,8
1824,pHSP12-TATA_OP-UAS_CEA,242,568,482,715,166,448,1,0
1825,pHSP12-TATA_OP-UAS_CEB,3,1,1,10,0,0,0,0
1826,pHSP12-TATA_OP-UAS_CEC,336,399,900,757,350,421,0,0
1827,pHSP12-TATA_OP-UAS_CED,797,965,1975,1877,915,1639,3,0
1828,pHSP12-TATA_OP-UAS_CEE,0,1,6,9,2,7,0,0
1829,pHSP12-TATA_OP-UAS_CEF,383,826,891,595,246,836,3,0
1830,pHSP12-TATA_OP-UAS_CFA,78,63,302,158,77,28,0,0
1831,pHSP12-TATA_OP-UAS_CFB,0,1,3,0,2,2,0,0
1832,pHSP12-TATA_OP-UAS_CFC,538,622,1453,815,585,584,0,1
1833,pHSP12-TATA_OP-UAS_CFD,239,229,450,620,308,275,0,0
1834,pHSP12-TATA_OP-UAS_CFE,13,106,59,177,31,128,0,1
1835,pHSP12-TATA_OP-UAS_CFF,286,465,407,845,350,350,0,0
1836,pHSP12-TATA_OP-UAS_DAA,5,3,18,23,13,5,0,0
1837,pHSP12-TATA_OP-UAS_DAB,1,3,7,6,7,4,0,0
1838,pHSP12-TATA_OP-UAS_DAC,3171,3343,6879,6797,1949,3693,3,0
1839,pHSP12-TATA_OP-UAS_DAD,992,1197,1886,2083,850,1250,5,1
1840,pHSP12-TATA_OP-UAS_DAE,306,422,643,181,210,265,0,0
1841,pHSP12-TATA_OP-UAS_DAF,2092,2299,4022,4639,2647,2580,6,0
1842,pHSP12-TATA_OP-UAS_DBA,13,30,58,27,2,20,0,0
1843,pHSP12-TATA_OP-UAS_DBB,1,0,1,1,0,0,0,0
1844,pHSP12-TATA_OP-UAS_DBC,2477,3308,6540,4941,2529,5124,2,0
1845,pHSP12-TATA_OP-UAS_DBD,1565,2219,5409,2850,2219,1950,4,4
1846,pHSP12-TATA_OP-UAS_DBE,9,7,19,17,11,23,0,0
1847,pHSP12-TATA_OP-UAS_DBF,1696,2495,4437,4337,1818,3971,2,8
1848,pHSP12-TATA_OP-UAS_DCA,69,136,299,196,69,75,0,0
1849,pHSP12-TATA_OP-UAS_DCB,61,66,199,4,153,25,0,0
1850,pHSP12-TATA_OP-UAS_DCC,668,860,1626,855,660,1140,1,0
1851,pHSP12-TATA_OP-UAS_DCD,665,647,834,1288,630,572,0,0
1852,pHSP12-TATA_OP-UAS_DCE,5,0,5,5,2,2,0,0
1853,pHSP12-TATA_OP-UAS_DCF,431,483,873,1138,303,398,1,2
1854,pHSP12-TATA_OP-UAS_DDA,245,294,465,745,128,96,1,0
1855,pHSP12-TATA_OP-UAS_DDB,0,0,1,1,0,0,0,0
1856,pHSP12-TATA_OP-UAS_DDC,2147,1833,4018,4185,3152,1150,1,1
1857,pHSP12-TATA_OP-UAS_DDD,1427,1527,2845,2351,2461,513,0,1
1858,pHSP12-TATA_OP-UAS_DDE,32,78,12,8,15,35,0,0
1859,pHSP12-TATA_OP-UAS_DDF,498,810,1282,897,553,1022,5,3
1860,pHSP12-TATA_OP-UAS_DEA,502,674,658,1292,272,504,3,1
1861,pHSP12-TATA_OP-UAS_DEB,3,5,2,2,3,4,0,0
1862,pHSP12-TATA_OP-UAS_DEC,1965,2515,4456,4029,3081,2957,2,1
1863,pHSP12-TATA_OP-UAS_DED,680,673,1163,1387,872,677,0,1
1864,pHSP12-TATA_OP-UAS_DEE,54,164,196,86,6,16,0,1
1865,pHSP12-TATA_OP-UAS_DEF,370,365,787,762,263,582,1,0
1866,pHSP12-TATA_OP-UAS_DFA,17,12,38,25,14,11,1,0
1867,pHSP12-TATA_OP-UAS_DFB,5,7,12,8,3,7,0,0
1868,pHSP12-TATA_OP-UAS_DFC,1309,1613,3309,2252,1330,2080,1,0
1869,pHSP12-TATA_OP-UAS_DFD,732,613,1054,1420,1146,584,1,1
1870,pHSP12-TATA_OP-UAS_DFE,55,90,205,277,171,27,0,0
1871,pHSP12-TATA_OP-UAS_DFF,923,1274,2505,2954,1066,1389,4,1
1872,pHSP12-TATA_OP-UAS_EAA,149,178,463,502,130,478,1,0
1873,pHSP12-TATA_OP-UAS_EAB,6,13,14,15,5,8,0,0
1874,pHSP12-TATA_OP-UAS_EAC,1028,865,1801,2004,1059,1146,0,0
1875,pHSP12-TATA_OP-UAS_EAD,552,565,751,1166,318,517,0,0
1876,pHSP12-TATA_OP-UAS_EAE,168,338,392,591,88,317,3,1
1877,pHSP12-TATA_OP-UAS_EAF,646,744,1133,2112,458,1041,2,0
1878,pHSP12-TATA_OP-UAS_EBA,565,664,1037,1529,319,1130,2,0
1879,pHSP12-TATA_OP-UAS_EBB,7,20,19,30,10,11,0,0
1880,pHSP12-TATA_OP-UAS_EBC,3642,3632,7524,6759,5127,5962,3,0
1881,pHSP12-TATA_OP-UAS_EBD,522,600,1057,1164,349,349,1,0
1882,pHSP12-TATA_OP-UAS_EBE,124,192,386,485,40,253,1,1
1883,pHSP12-TATA_OP-UAS_EBF,1230,1948,3361,4648,1490,2053,3,2
1884,pHSP12-TATA_OP-UAS_ECA,5,8,11,19,5,5,0,0
1885,pHSP12-TATA_OP-UAS_ECB,131,220,112,444,465,147,0,0
1886,pHSP12-TATA_OP-UAS_ECC,574,708,1069,1336,272,672,2,0
1887,pHSP12-TATA_OP-UAS_ECD,703,646,1227,2149,1116,790,1,2
1888,pHSP12-TATA_OP-UAS_ECE,3,3,5,6,0,3,0,0
1889,pHSP12-TATA_OP-UAS_ECF,218,271,484,983,159,302,1,0
1890,pHSP12-TATA_OP-UAS_EDA,115,92,315,277,112,199,1,0
1891,pHSP12-TATA_OP-UAS_EDB,7,3,11,3,6,4,0,0
1892,pHSP12-TATA_OP-UAS_EDC,2126,2283,4523,5380,2686,2822,2,0
1893,pHSP12-TATA_OP-UAS_EDD,852,818,1708,1268,659,629,2,1
1894,pHSP12-TATA_OP-UAS_EDE,73,166,207,176,20,188,0,0
1895,pHSP12-TATA_OP-UAS_EDF,781,891,1857,2149,769,1696,1,2
1896,pHSP12-TATA_OP-UAS_EEA,7,13,23,16,4,15,0,0
1897,pHSP12-TATA_OP-UAS_EEB,1,1,0,2,2,0,0,0
1898,pHSP12-TATA_OP-UAS_EEC,943,989,1226,1875,895,951,1,1
1899,pHSP12-TATA_OP-UAS_EED,417,284,727,252,658,399,1,3
1900,pHSP12-TATA_OP-UAS_EEE,0,2,5,3,0,6,0,0
1901,pHSP12-TATA_OP-UAS_EEF,413,700,909,1112,308,838,1,5
1902,pHSP12-TATA_OP-UAS_EFA,52,109,103,154,9,222,0,0
1903,pHSP12-TATA_OP-UAS_EFB,5,2,3,1,0,5,0,0
1904,pHSP12-TATA_OP-UAS_EFC,437,801,1332,749,443,964,0,0
1905,pHSP12-TATA_OP-UAS_EFD,371,391,1024,890,262,742,0,0
1906,pHSP12-TATA_OP-UAS_EFE,4,0,13,1,3,5,0,0
1907,pHSP12-TATA_OP-UAS_EFF,356,485,947,325,226,663,0,1
1908,pHSP12-TATA_OP-UAS_FAA,13,20,27,30,3,14,0,0
1909,pHSP12-TATA_OP-UAS_FAB,24,15,59,57,25,18,1,0
1910,pHSP12-TATA_OP-UAS_FAC,3912,3903,9416,8574,4718,7446,3,0
1911,pHSP12-TATA_OP-UAS_FAD,454,495,715,1083,348,488,0,0
1912,pHSP12-TATA_OP-UAS_FAE,176,273,348,266,34,132,1,0
1913,pHSP12-TATA_OP-UAS_FAF,13463,23081,33542,28438,15784,29616,17,6
1914,pHSP12-TATA_OP-UAS_FBA,287,230,499,112,243,546,1,1
1915,pHSP12-TATA_OP-UAS_FBB,0,0,1,1,0,3,0,0
1916,pHSP12-TATA_OP-UAS_FBC,2566,2506,4873,4666,2279,3447,1,0
1917,pHSP12-TATA_OP-UAS_FBD,922,1183,2393,1914,1357,730,0,1
1918,pHSP12-TATA_OP-UAS_FBE,141,114,281,214,51,303,0,0
1919,pHSP12-TATA_OP-UAS_FBF,1688,1996,3769,3931,2681,2942,10,5
1920,pHSP12-TATA_OP-UAS_FCA,11,10,16,11,13,3,0,0
1921,pHSP12-TATA_OP-UAS_FCB,2,0,3,1,2,1,0,0
1922,pHSP12-TATA_OP-UAS_FCC,1390,1716,3207,4269,1258,2271,7,0
1923,pHSP12-TATA_OP-UAS_FCD,32,75,58,106,30,64,0,0
1924,pHSP12-TATA_OP-UAS_FCE,4,23,18,12,6,6,0,0
1925,pHSP12-TATA_OP-UAS_FCF,158,283,378,452,832,486,1,0
1926,pHSP12-TATA_OP-UAS_FDA,7,10,9,1,0,4,0,0
1927,pHSP12-TATA_OP-UAS_FDB,0,1,3,2,0,1,0,0
1928,pHSP12-TATA_OP-UAS_FDC,1587,2040,4269,3206,1314,2820,1,0
1929,pHSP12-TATA_OP-UAS_FDD,126,143,372,611,27,131,0,0
1930,pHSP12-TATA_OP-UAS_FDE,2,4,3,4,0,4,0,0
1931,pHSP12-TATA_OP-UAS_FDF,377,397,1121,570,534,885,0,0
1932,pHSP12-TATA_OP-UAS_FEA,147,195,541,396,365,396,3,1
1933,pHSP12-TATA_OP-UAS_FEB,1,2,2,2,0,3,0,0
1934,pHSP12-TATA_OP-UAS_FEC,479,824,1679,1175,803,861,1,1
1935,pHSP12-TATA_OP-UAS_FED,273,356,393,1049,95,351,0,0
1936,pHSP12-TATA_OP-UAS_FEE,2,0,1,4,4,3,0,0
1937,pHSP12-TATA_OP-UAS_FEF,372,529,565,909,289,441,0,0
1938,pHSP12-TATA_OP-UAS_FFA,91,59,386,182,13,207,0,0
1939,pHSP12-TATA_OP-UAS_FFB,2,2,9,7,2,10,0,0
1940,pHSP12-TATA_OP-UAS_FFC,8,11,35,17,7,22,0,0
1941,pHSP12-TATA_OP-UAS_FFD,79,150,148,159,56,59,0,0
1942,pHSP12-TATA_OP-UAS_FFE,9,51,55,24,17,7,0,0
1943,pHSP12-TATA_OP-UAS_FFF,395,538,765,553,253,586,1,0
1944,pHSP12-OP_TATA_OP-UAS_AAA,0,0,0,0,0,0,0,0
1945,pHSP12-OP_TATA_OP-UAS_AAB,1,1,3,0,0,0,0,0
1946,pHSP12-OP_TATA_OP-UAS_AAC,2023,1815,4298,2128,1469,1717,0,3
1947,pHSP12-OP_TATA_OP-UAS_AAD,149,148,126,141,37,44,0,0
1948,pHSP12-OP_TATA_OP-UAS_AAE,97,84,187,218,53,76,0,0
1949,pHSP12-OP_TATA_OP-UAS_AAF,987,707,1909,773,653,462,2,2
1950,pHSP12-OP_TATA_OP-UAS_ABA,28,23,37,18,20,8,1,0
1951,pHSP12-OP_TATA_OP-UAS_ABB,1,0,1,0,0,0,0,0
1952,pHSP12-OP_TATA_OP-UAS_ABC,1847,1641,3286,2931,1207,1761,1,6
1953,pHSP12-OP_TATA_OP-UAS_ABD,1712,1542,2526,2537,1398,703,3,3
1954,pHSP12-OP_TATA_OP-UAS_ABE,55,89,76,62,23,10,0,0
1955,pHSP12-OP_TATA_OP-UAS_ABF,975,1069,2532,1598,456,749,0,3
1956,pHSP12-OP_TATA_OP-UAS_ACA,846,918,1462,2145,645,883,0,0
1957,pHSP12-OP_TATA_OP-UAS_ACB,4,2,1,3,4,4,0,0
1958,pHSP12-OP_TATA_OP-UAS_ACC,1812,1588,3489,2135,1455,2034,3,4
1959,pHSP12-OP_TATA_OP-UAS_ACD,1344,1126,1646,2139,695,1922,2,1
1960,pHSP12-OP_TATA_OP-UAS_ACE,123,206,238,274,693,226,0,0
1961,pHSP12-OP_TATA_OP-UAS_ACF,607,692,1752,1305,1095,910,1,0
1962,pHSP12-OP_TATA_OP-UAS_ADA,2,5,7,9,2,3,0,0
1963,pHSP12-OP_TATA_OP-UAS_ADB,2,2,0,0,0,5,0,0
1964,pHSP12-OP_TATA_OP-UAS_ADC,6429,6457,12580,9269,8079,7107,15,14
1965,pHSP12-OP_TATA_OP-UAS_ADD,806,1032,1998,1980,1018,326,2,1
1966,pHSP12-OP_TATA_OP-UAS_ADE,132,183,299,191,337,144,0,0
1967,pHSP12-OP_TATA_OP-UAS_ADF,679,438,1348,755,245,760,1,0
1968,pHSP12-OP_TATA_OP-UAS_AEA,558,696,1392,477,426,577,1,0
1969,pHSP12-OP_TATA_OP-UAS_AEB,1,5,2,0,0,0,0,0
1970,pHSP12-OP_TATA_OP-UAS_AEC,72,149,193,103,45,83,0,0
1971,pHSP12-OP_TATA_OP-UAS_AED,66,138,219,55,97,181,0,0
1972,pHSP12-OP_TATA_OP-UAS_AEE,55,148,72,152,225,219,0,0
1973,pHSP12-OP_TATA_OP-UAS_AEF,850,1331,1598,1810,857,1293,2,3
1974,pHSP12-OP_TATA_OP-UAS_AFA,13,37,45,85,6,165,0,0
1975,pHSP12-OP_TATA_OP-UAS_AFB,2,1,7,3,1,1,0,0
1976,pHSP12-OP_TATA_OP-UAS_AFC,1874,1898,3915,3155,1894,2096,4,1
1977,pHSP12-OP_TATA_OP-UAS_AFD,999,1065,2225,1069,777,1086,1,2
1978,pHSP12-OP_TATA_OP-UAS_AFE,5,2,5,2,2,4,0,0
1979,pHSP12-OP_TATA_OP-UAS_AFF,730,954,1930,1166,508,965,1,1
1980,pHSP12-OP_TATA_OP-UAS_BAA,65,20,41,19,4,9,0,0
