,Combination,P2,P3,P4,P5,P6,P7,P8,P9
3085,pEXG1-OP_TATA-UAS_BEB,3,2,4,1,3,31,79,28
3086,pEXG1-OP_TATA-UAS_BEC,117,74,231,133,215,2732,4528,746
3087,pEXG1-OP_TATA-UAS_BED,51,41,32,53,121,256,1311,589
3088,pEXG1-OP_TATA-UAS_BEE,943,1261,2174,2138,2833,7155,47786,29266
3089,pEXG1-OP_TATA-UAS_BEF,23,54,154,535,477,381,1063,519
3090,pEXG1-OP_TATA-UAS_BFA,3,5,50,5,37,125,631,120
3091,pEXG1-OP_TATA-UAS_BFB,0,0,0,0,0,2,6,1
3092,pEXG1-OP_TATA-UAS_BFC,36,57,112,144,158,1169,2703,489
3093,pEXG1-OP_TATA-UAS_BFD,58,37,121,38,85,261,1879,590
3094,pEXG1-OP_TATA-UAS_BFE,6,6,10,32,41,80,754,164
3095,pEXG1-OP_TATA-UAS_BFF,44,20,176,117,145,668,3041,817
3096,pEXG1-OP_TATA-UAS_CAA,11,8,52,41,48,147,596,542
3097,pEXG1-OP_TATA-UAS_CAB,0,0,0,0,0,0,5,0
3098,pEXG1-OP_TATA-UAS_CAC,120,106,186,161,574,3107,6183,1030
3099,pEXG1-OP_TATA-UAS_CAD,116,64,117,145,147,223,1388,1052
3100,pEXG1-OP_TATA-UAS_CAE,3,0,0,0,0,2,7,4
3101,pEXG1-OP_TATA-UAS_CAF,102,37,71,62,86,280,1911,633
3102,pEXG1-OP_TATA-UAS_CBA,18,11,8,55,19,49,245,278
3103,pEXG1-OP_TATA-UAS_CBB,0,0,0,0,0,0,0,0
3104,pEXG1-OP_TATA-UAS_CBC,86,122,279,301,485,1489,6442,1633
3105,pEXG1-OP_TATA-UAS_CBD,11,17,26,48,83,35,482,642
3106,pEXG1-OP_TATA-UAS_CBE,0,3,3,5,22,19,142,83
3107,pEXG1-OP_TATA-UAS_CBF,31,21,41,47,102,199,964,985
3108,pEXG1-OP_TATA-UAS_CCA,0,2,2,1,20,0,32,4
3109,pEXG1-OP_TATA-UAS_CCB,0,0,0,0,0,0,1,0
3110,pEXG1-OP_TATA-UAS_CCC,7,21,72,66,87,363,1507,246
3111,pEXG1-OP_TATA-UAS_CCD,0,1,25,16,35,24,288,197
3112,pEXG1-OP_TATA-UAS_CCE,1,0,0,0,0,7,2,1
3113,pEXG1-OP_TATA-UAS_CCF,44,48,128,73,132,225,1387,860
3114,pEXG1-OP_TATA-UAS_CDA,0,0,1,1,0,3,6,0
3115,pEXG1-OP_TATA-UAS_CDB,0,0,0,1,0,1,2,1
3116,pEXG1-OP_TATA-UAS_CDC,29,44,96,103,137,1586,2474,301
3117,pEXG1-OP_TATA-UAS_CDD,84,54,120,159,109,122,1916,1004
3118,pEXG1-OP_TATA-UAS_CDE,2,0,0,0,0,3,6,1
3119,pEXG1-OP_TATA-UAS_CDF,11,18,67,78,75,203,1232,343
3120,pEXG1-OP_TATA-UAS_CEA,2,0,0,2,1,13,8,4
3121,pEXG1-OP_TATA-UAS_CEB,0,0,0,0,0,0,2,0
3122,pEXG1-OP_TATA-UAS_CEC,20,33,96,81,143,926,2356,370
3123,pEXG1-OP_TATA-UAS_CED,9,2,0,2,43,14,124,9
3124,pEXG1-OP_TATA-UAS_CEE,0,0,0,0,0,3,6,0
3125,pEXG1-OP_TATA-UAS_CEF,70,19,33,39,41,248,1139,179
3126,pEXG1-OP_TATA-UAS_CFA,6,3,12,1,36,26,163,145
3127,pEXG1-OP_TATA-UAS_CFB,0,0,2,0,1,0,4,0
3128,pEXG1-OP_TATA-UAS_CFC,42,31,137,42,154,543,1875,366
3129,pEXG1-OP_TATA-UAS_CFD,63,25,63,79,109,169,998,700
3130,pEXG1-OP_TATA-UAS_CFE,1,0,13,12,13,19,223,177
3131,pEXG1-OP_TATA-UAS_CFF,21,15,70,90,157,178,1288,689
3132,pEXG1-OP_TATA-UAS_DAA,0,0,0,0,0,0,13,8
3133,pEXG1-OP_TATA-UAS_DAB,0,0,3,0,6,0,0,0
3134,pEXG1-OP_TATA-UAS_DAC,96,95,223,239,377,2090,5942,878
3135,pEXG1-OP_TATA-UAS_DAD,49,1,38,8,24,146,467,316
3136,pEXG1-OP_TATA-UAS_DAE,3,1,1,0,2,8,22,79
3137,pEXG1-OP_TATA-UAS_DAF,9,23,117,113,123,239,1644,751
