,Combination,P2,P3,P4,P5,P6,P7,P8,P9
0,pGPD-TATA_OP-UAS_AAA,0,0,0,0,0,0,0,0
1,pGPD-TATA_OP-UAS_AAB,0,0,0,0,0,0,0,0
2,pGPD-TATA_OP-UAS_AAC,0,6,23,2,8,19,2,2
3,pGPD-TATA_OP-UAS_AAD,0,0,1,0,0,0,1,0
4,pGPD-TATA_OP-UAS_AAE,0,0,0,0,0,1,0,0
5,pGPD-TATA_OP-UAS_AAF,0,0,6,0,6,12,4,1
6,pGPD-TATA_OP-UAS_ABA,0,0,0,0,0,0,0,0
7,pGPD-TATA_OP-UAS_ABB,0,0,0,0,0,0,0,0
8,pGPD-TATA_OP-UAS_ABC,0,2,33,15,28,47,32,3
9,pGPD-TATA_OP-UAS_ABD,2,14,10,1,3,9,20,19
10,pGPD-TATA_OP-UAS_ABE,0,0,3,0,0,1,0,0
11,pGPD-TATA_OP-UAS_ABF,0,1,4,0,3,4,5,0
12,pGPD-TATA_OP-UAS_ACA,0,2,1,0,0,0,0,0
13,pGPD-TATA_OP-UAS_ACB,0,0,0,0,0,0,0,0
14,pGPD-TATA_OP-UAS_ACC,0,2,7,9,8,19,0,0
15,pGPD-TATA_OP-UAS_ACD,0,4,0,0,0,7,11,2
16,pGPD-TATA_OP-UAS_ACE,0,0,0,0,1,1,0,0
17,pGPD-TATA_OP-UAS_ACF,0,2,4,3,7,10,11,2
18,pGPD-TATA_OP-UAS_ADA,0,0,0,0,0,1,0,1
19,pGPD-TATA_OP-UAS_ADB,0,0,0,0,0,0,0,0
20,pGPD-TATA_OP-UAS_ADC,0,13,39,7,45,39,6,1
21,pGPD-TATA_OP-UAS_ADD,0,5,0,3,0,2,16,2
22,pGPD-TATA_OP-UAS_ADE,0,0,0,0,0,0,0,0
23,pGPD-TATA_OP-UAS_ADF,0,0,2,0,5,3,10,12
24,pGPD-TATA_OP-UAS_AEA,0,0,0,0,0,1,3,4
25,pGPD-TATA_OP-UAS_AEB,0,0,0,0,0,0,0,0
26,pGPD-TATA_OP-UAS_AEC,0,1,10,19,2,11,3,1
