,Combination,P2,P3,P4,P5,P6,P7,P8,P9
0,pGPD-TATA_OP-UAS_AAA,0,0,0,0,0,0,0,0
1,pGPD-TATA_OP-UAS_AAB,0,0,0,0,0,0,0,0
2,pGPD-TATA_OP-UAS_AAC,0,5,9,4,2,23,14,0
3,pGPD-TATA_OP-UAS_AAD,0,1,0,0,0,3,1,0
4,pGPD-TATA_OP-UAS_AAE,0,0,0,0,0,0,0,0
5,pGPD-TATA_OP-UAS_AAF,0,4,0,1,15,12,4,1
6,pGPD-TATA_OP-UAS_ABA,0,0,0,0,0,0,0,0
7,pGPD-TATA_OP-UAS_ABB,0,0,0,0,0,0,0,0
8,pGPD-TATA_OP-UAS_ABC,3,6,32,17,32,27,37,4
9,pGPD-TATA_OP-UAS_ABD,0,18,16,3,14,4,11,16
10,pGPD-TATA_OP-UAS_ABE,0,0,1,0,0,0,1,1
11,pGPD-TATA_OP-UAS_ABF,0,3,7,0,3,7,1,1
12,pGPD-TATA_OP-UAS_ACA,0,2,0,0,0,0,0,0
13,pGPD-TATA_OP-UAS_ACB,0,0,0,0,0,0,0,0
14,pGPD-TATA_OP-UAS_ACC,6,9,0,6,7,24,3,1
15,pGPD-TATA_OP-UAS_ACD,5,3,0,1,0,12,2,1
16,pGPD-TATA_OP-UAS_ACE,0,0,2,1,1,2,3,0
17,pGPD-TATA_OP-UAS_ACF,0,0,1,2,0,11,13,0
18,pGPD-TATA_OP-UAS_ADA,0,0,0,0,0,3,0,0
19,pGPD-TATA_OP-UAS_ADB,0,0,0,0,0,0,0,0
20,pGPD-TATA_OP-UAS_ADC,2,10,21,12,15,45,10,4
21,pGPD-TATA_OP-UAS_ADD,0,1,0,0,2,1,11,0
22,pGPD-TATA_OP-UAS_ADE,0,0,1,0,0,1,0,0
23,pGPD-TATA_OP-UAS_ADF,1,0,4,2,0,14,10,2
24,pGPD-TATA_OP-UAS_AEA,0,2,0,0,0,0,0,1
25,pGPD-TATA_OP-UAS_AEB,0,0,0,0,0,0,0,0
26,pGPD-TATA_OP-UAS_AEC,0,2,8,9,9,7,2,1
