,Combination,P2,P3,P4,P5,P6,P7,P8,P9
0,pGPD-TATA_OP-UAS_AAA,0,0,0,0,0,0,0,0
1,pGPD-TATA_OP-UAS_AAB,0,0,0,0,0,0,0,0
2,pGPD-TATA_OP-UAS_AAC,0,3,21,7,12,7,3,3
3,pGPD-TATA_OP-UAS_AAD,0,1,0,0,0,0,0,0
4,pGPD-TATA_OP-UAS_AAE,0,0,1,0,0,0,10,1
5,pGPD-TATA_OP-UAS_AAF,0,2,1,0,6,0,12,0
6,pGPD-TATA_OP-UAS_ABA,0,0,0,0,0,0,0,0
7,pGPD-TATA_OP-UAS_ABB,0,0,0,0,0,0,0,0
8,pGPD-TATA_OP-UAS_ABC,0,2,8,11,19,26,35,1
9,pGPD-TATA_OP-UAS_ABD,2,13,22,3,6,0,8,14
10,pGPD-TATA_OP-UAS_ABE,0,0,0,0,0,1,1,2
11,pGPD-TATA_OP-UAS_ABF,0,5,5,3,0,2,2,2
12,pGPD-TATA_OP-UAS_ACA,0,0,0,0,0,0,3,0
13,pGPD-TATA_OP-UAS_ACB,0,0,0,0,0,0,0,0
14,pGPD-TATA_OP-UAS_ACC,0,5,6,2,13,6,5,2
15,pGPD-TATA_OP-UAS_ACD,0,2,1,1,2,3,5,0
16,pGPD-TATA_OP-UAS_ACE,1,1,0,0,0,0,3,0
17,pGPD-TATA_OP-UAS_ACF,1,0,3,0,3,6,16,0
18,pGPD-TATA_OP-UAS_ADA,0,0,1,0,0,1,0,0
19,pGPD-TATA_OP-UAS_ADB,0,0,0,0,0,0,0,0
20,pGPD-TATA_OP-UAS_ADC,3,13,36,8,30,26,12,0
21,pGPD-TATA_OP-UAS_ADD,0,0,0,0,0,0,1,2
22,pGPD-TATA_OP-UAS_ADE,0,0,0,0,0,0,0,0
23,pGPD-TATA_OP-UAS_ADF,0,7,7,0,3,4,5,0
24,pGPD-TATA_OP-UAS_AEA,0,1,0,0,2,0,0,1
25,pGPD-TATA_OP-UAS_AEB,0,0,0,0,0,0,0,0
26,pGPD-TATA_OP-UAS_AEC,0,9,6,4,1,3,1,2
