,Bin,R1,R2
0,P2,"0.6739606873458376,1.0091714143753054","0.6745626733135117,1.0164248311519626"
1,P3,"0.3606683212673117,0.6739606873458376","0.3621151863330204,0.6745626733135117"
2,P4,"0.048551360677176976,0.3606683212673117","0.04969423530040255,0.3621151863330204"
3,P5,"-0.26610919566143215,0.048551360677176976","-0.2654616534929334,0.04969423530040255"
4,P6,"-0.5791589137921296,-0.26610919566143215","-0.5772613273440081,-0.2654616534929334"
5,P7,"-0.8900105269041934,-0.5791589137921296","-0.8895186285264888,-0.5772613273440081"
6,P8,"-1.2097319505475166,-0.8900105269041934","-1.2090944251451605,-0.8895186285264888"
7,P9,"-2.0064186096191405,-1.2097319505475166","-1.9922868347167968,-1.2090944251451605"
