,Lib_0A,Lib_0B,Lib_1A,Lib_1B,Lib_2A,Lib_2B,Lib_3A,Lib_3B,Lib_5A,Lib_5B,Lib_8A,Lib_8B
Bin1,"0.6739606873458376,1.0091714143753054","0.6745626733135117,1.0164248311519626","0.6771533140783224,1.0428363907337188","0.6764282983430994,1.035432448387146","0.6771865299000798,1.0428054332733154","0.678003355762547,1.041521430015564","0.6778100963526356,1.0487545251846306","0.6779074239753148,1.0458989143371582","0.6748711634548633,1.040725321769714","0.675609009024741,1.0384880602359774","0.673733518256316,1.0399205720424636","0.6757726884009628,1.0364413142204283"
Bin2,"0.3606683212673117,0.6739606873458376","0.3621151863330204,0.6745626733135117","0.3608310763845903,0.6771533140783224","0.36087666046521427,0.6764282983430994","0.35959979479532406,0.6771865299000798","0.3596486021723066,0.678003355762547","0.36015525779975505,0.6778100963526356","0.35950246614540005,0.6779074239753148","0.35706119809768433,0.6748711634548633","0.356815876962201,0.675609009024741","0.3563147752552548,0.673733518256316","0.3575836685042989,0.6757726884009628"
Bin3,"0.048551360677176976,0.3606683212673117","0.04969423530040255,0.3621151863330204","0.04781981046608963,0.3608310763845903","0.0479334241207182,0.36087666046521427","0.04712367164537624,0.35959979479532406","0.04738374239059701,0.3596486021723066","0.04746975818579768,0.36015525779975505","0.04679780222878323,0.35950246614540005","0.04394714756273658,0.35706119809768433","0.04471515270301794,0.356815876962201","0.04361904745402163,0.3563147752552548","0.04428179735561836,0.3575836685042989"
Bin4,"-0.26610919566143215,0.048551360677176976","-0.2654616534929334,0.04969423530040255","-0.2672956433837435,0.04781981046608963","-0.2670053532900367,0.0479334241207182","-0.26674281918706355,0.04712367164537624","-0.26662783355064523,0.04738374239059701","-0.26577533513661067,0.04746975818579768","-0.26619279615152325,0.04679780222878323","-0.2671500712463744,0.04394714756273658","-0.26713772068367925,0.04471515270301794","-0.26747575696884485,0.04361904745402163","-0.266816625953149,0.04428179735561836"
Bin5,"-0.5791589137921296,-0.26610919566143215","-0.5772613273440081,-0.2654616534929334","-0.5783299676573815,-0.2672956433837435","-0.5776866285923762,-0.2670053532900367","-0.5770465988789657,-0.26674281918706355","-0.5774344816695415,-0.26662783355064523","-0.5768361571451728,-0.26577533513661067","-0.5770943090771026,-0.26619279615152325","-0.5785509907834986,-0.2671500712463744","-0.5783649203586652,-0.26713772068367925","-0.5789320719141907,-0.26747575696884485","-0.5784054260746061,-0.266816625953149"
Bin6,"-0.8900105269041934,-0.5791589137921296","-0.8895186285264888,-0.5772613273440081","-0.8900762115666305,-0.5783299676573815","-0.8895878361848178,-0.5776866285923762","-0.8900932538552555,-0.5770465988789657","-0.8898130628568897,-0.5774344816695415","-0.8903150587228756,-0.5768361571451728","-0.8904732232515988,-0.5770943090771026","-0.8932398213632698,-0.5785509907834986","-0.8928200212412261,-0.5783649203586652","-0.8937624954318755,-0.5789320719141907","-0.8929820010083411,-0.5784054260746061"
Bin7,"-1.2097319505475166,-0.8900105269041934","-1.2090944251451605,-0.8895186285264888","-1.210643356101942,-0.8900762115666305","-1.2102808013441133,-0.8895878361848178","-1.2111210266584065,-0.8900932538552555","-1.210705399266295,-0.8898130628568897","-1.2102047384339818,-0.8903150587228756","-1.2114623467175494,-0.8904732232515988","-1.2138700781621152,-0.8932398213632698","-1.2130057375995886,-0.8928200212412261","-1.214378036532602,-0.8937624954318755","-1.2132142559248469,-0.8929820010083411"
Bin8,"-2.0064186096191405,-1.2097319505475166","-1.9922868347167968,-1.2090944251451605","-2.044391341209412,-1.210643356101942","-2.0315154576301575,-1.2102808013441133","-2.0846618175506593,-1.2111210266584065","-2.1036877489089965,-1.210705399266295","-2.105786209106445,-1.2102047384339818","-2.105083405971527,-1.2114623467175494","-2.1408577156066895,-1.2138700781621152","-2.1231567001342775,-1.2130057375995886","-2.148140549659729,-1.214378036532602","-2.1279070472717283,-1.2132142559248469"
