,Bin,R1,R2
0,P2,"0.673733518256316,1.0399205720424636","0.6757726884009628,1.0364413142204283"
1,P3,"0.3563147752552548,0.673733518256316","0.3575836685042989,0.6757726884009628"
2,P4,"0.04361904745402163,0.3563147752552548","0.04428179735561836,0.3575836685042989"
3,P5,"-0.26747575696884485,0.04361904745402163","-0.266816625953149,0.04428179735561836"
4,P6,"-0.5789320719141907,-0.26747575696884485","-0.5784054260746061,-0.266816625953149"
5,P7,"-0.8937624954318755,-0.5789320719141907","-0.8929820010083411,-0.5784054260746061"
6,P8,"-1.214378036532602,-0.8937624954318755","-1.2132142559248469,-0.8929820010083411"
7,P9,"-2.148140549659729,-1.214378036532602","-2.1279070472717283,-1.2132142559248469"
