,Bin,R1,R2
0,P2,"0.6771865299000798,1.0428054332733154","0.678003355762547,1.041521430015564"
1,P3,"0.35959979479532406,0.6771865299000798","0.3596486021723066,0.678003355762547"
2,P4,"0.04712367164537624,0.35959979479532406","0.04738374239059701,0.3596486021723066"
3,P5,"-0.26674281918706355,0.04712367164537624","-0.26662783355064523,0.04738374239059701"
4,P6,"-0.5770465988789657,-0.26674281918706355","-0.5774344816695415,-0.26662783355064523"
5,P7,"-0.8900932538552555,-0.5770465988789657","-0.8898130628568897,-0.5774344816695415"
6,P8,"-1.2111210266584065,-0.8900932538552555","-1.210705399266295,-0.8898130628568897"
7,P9,"-2.0846618175506593,-1.2111210266584065","-2.1036877489089965,-1.210705399266295"
