,Bin,R1,R2
0,P2,"0.6748711634548633,1.040725321769714","0.675609009024741,1.0384880602359774"
1,P3,"0.35706119809768433,0.6748711634548633","0.356815876962201,0.675609009024741"
2,P4,"0.04394714756273658,0.35706119809768433","0.04471515270301794,0.356815876962201"
3,P5,"-0.2671500712463744,0.04394714756273658","-0.26713772068367925,0.04471515270301794"
4,P6,"-0.5785509907834986,-0.2671500712463744","-0.5783649203586652,-0.26713772068367925"
5,P7,"-0.8932398213632698,-0.5785509907834986","-0.8928200212412261,-0.5783649203586652"
6,P8,"-1.2138700781621152,-0.8932398213632698","-1.2130057375995886,-0.8928200212412261"
7,P9,"-2.1408577156066895,-1.2138700781621152","-2.1231567001342775,-1.2130057375995886"
