,Bin,R1,R2
0,P2,"0.6771533140783224,1.0428363907337188","0.6764282983430994,1.035432448387146"
1,P3,"0.3608310763845903,0.6771533140783224","0.36087666046521427,0.6764282983430994"
2,P4,"0.04781981046608963,0.3608310763845903","0.0479334241207182,0.36087666046521427"
3,P5,"-0.2672956433837435,0.04781981046608963","-0.2670053532900367,0.0479334241207182"
4,P6,"-0.5783299676573815,-0.2672956433837435","-0.5776866285923762,-0.2670053532900367"
5,P7,"-0.8900762115666305,-0.5783299676573815","-0.8895878361848178,-0.5776866285923762"
6,P8,"-1.210643356101942,-0.8900762115666305","-1.2102808013441133,-0.8895878361848178"
7,P9,"-2.044391341209412,-1.210643356101942","-2.0315154576301575,-1.2102808013441133"
