,Bin,R1,R2
0,P2,"0.6778100963526356,1.0487545251846306","0.6779074239753148,1.0458989143371582"
1,P3,"0.36015525779975505,0.6778100963526356","0.35950246614540005,0.6779074239753148"
2,P4,"0.04746975818579768,0.36015525779975505","0.04679780222878323,0.35950246614540005"
3,P5,"-0.26577533513661067,0.04746975818579768","-0.26619279615152325,0.04679780222878323"
4,P6,"-0.5768361571451728,-0.26577533513661067","-0.5770943090771026,-0.26619279615152325"
5,P7,"-0.8903150587228756,-0.5768361571451728","-0.8904732232515988,-0.5770943090771026"
6,P8,"-1.2102047384339818,-0.8903150587228756","-1.2114623467175494,-0.8904732232515988"
7,P9,"-2.105786209106445,-1.2102047384339818","-2.105083405971527,-1.2114623467175494"
