,Bin,R1,R2
0,P2,"0.67781,0.96633","0.67791,0.96665"
1,P3,"0.36016,0.67781","0.3595,0.67791"
2,P4,"0.04747,0.36016","0.0468,0.3595"
3,P5,"-0.26578,0.04747","-0.26619,0.0468"
4,P6,"-0.57684,-0.26578","-0.57709,-0.26619"
5,P7,"-0.89032,-0.57684","-0.89047,-0.57709"
6,P8,"-1.2102,-0.89032","-1.21146,-0.89047"
7,P9,"-1.85822,-1.2102","-1.86234,-1.21146"
