,Bin,R1,R2
0,P2,"0.67373,0.95597","0.67577,0.95542"
1,P3,"0.35631,0.67373","0.35758,0.67577"
2,P4,"0.04362,0.35631","0.04428,0.35758"
3,P5,"-0.26748,0.04362","-0.26682,0.04428"
4,P6,"-0.57893,-0.26748","-0.57841,-0.26682"
5,P7,"-0.89376,-0.57893","-0.89298,-0.57841"
6,P8,"-1.21438,-0.89376","-1.21321,-0.89298"
7,P9,"-1.89664,-1.21438","-1.88219,-1.21321"
