,Bin,R1,R2
0,P2,"0.67715,0.96117","0.67643,0.95528"
1,P3,"0.36083,0.67715","0.36088,0.67643"
2,P4,"0.04782,0.36083","0.04793,0.36088"
3,P5,"-0.2673,0.04782","-0.26701,0.04793"
4,P6,"-0.57833,-0.2673","-0.57769,-0.26701"
5,P7,"-0.89008,-0.57833","-0.88959,-0.57769"
6,P8,"-1.21064,-0.89008","-1.21028,-0.88959"
7,P9,"-1.8087,-1.21064","-1.79785,-1.21028"
