,Bin,R1,R2
0,P2,"0.67396,0.92539","0.67456,0.93268"
1,P3,"0.36067,0.67396","0.36212,0.67456"
2,P4,"0.04855,0.36067","0.04969,0.36212"
3,P5,"-0.26611,0.04855","-0.26546,0.04969"
4,P6,"-0.57916,-0.26611","-0.57726,-0.26546"
5,P7,"-0.89001,-0.57916","-0.88952,-0.57726"
6,P8,"-1.20973,-0.89001","-1.20909,-0.88952"
7,P9,"-1.78343,-1.20973","-1.76935,-1.20909"
