Combination,Q2_0A,Q2_1A,Q2_2A,Q2_3A,Q2_5A,Q2_8A,Q2_0B,Q2_1B,Q2_2B,Q2_3B,Q2_5B,Q2_8B,TR_Pro,Core_pro_design,1st_UAS,2nd_UAS,3rd_UAS,miu_Lib_0A,reads_sum_0A,miu_Lib_0B,reads_sum_0B,miu_Lib_1A,reads_sum_1A,miu_Lib_1B,reads_sum_1B,miu_Lib_2A,reads_sum_2A,miu_Lib_2B,reads_sum_2B,miu_Lib_3A,reads_sum_3A,miu_Lib_3B,reads_sum_3B,miu_Lib_5A,reads_sum_5A,miu_Lib_5B,reads_sum_5B,miu_Lib_8A,reads_sum_8A,miu_Lib_8B,reads_sum_8B,miu_Lib_0,miu_Lib_1,miu_Lib_2,miu_Lib_3,miu_Lib_5,miu_Lib_8
pGPD-TATA_OP-UAS_AAC,21,15,49,35,5,16,21,2,9,15,5,18,pGPD,TATA_OP,A,A,C,-0.9191885627678951,166,-0.6922835768288796,167,-0.5842080860823657,137,-0.7373776562381463,261,-0.5078243442250195,157,-0.5779519153538263,140,-0.3535185992109091,153,-0.4932167576729369,153,-0.41070484964654896,147,-0.3285163799730074,166,-0.33118206315620563,158,-0.4922367194316747,237,-0.8057360697983873,-0.660792871160256,-0.5428881297894229,-0.423367678441923,-0.3696106148097782,-0.41170939129394013
pGPD-TATA_OP-UAS_ABC,74,32,115,39,7,50,57,7,12,65,91,8,pGPD,TATA_OP,A,B,C,-0.8367857382165917,403,-0.8530566124321565,379,-0.7053078038537572,281,-0.7984052071878283,369,-0.7799498923824791,393,-0.5748128750190489,249,-0.6110744532616464,286,-0.6996625289744056,194,-0.6881092552475975,300,-0.6597447304893698,240,-0.6010130445716441,253,-0.6851708290789118,335,-0.8449211753243742,-0.7518565055207928,-0.6773813837007641,-0.655368491118026,-0.6739269928684837,-0.6430919368252779
pGPD-TATA_OP-UAS_ABD,68,77,93,78,35,33,34,10,31,39,30,9,pGPD,TATA_OP,A,B,D,-1.1769191697544445,271,-1.0390748340139386,272,-1.1164575384137159,167,-1.1442207882127788,215,-1.1111842276833124,155,-1.0057240576969853,120,-0.7798461227522382,130,-0.977460549082136,146,-1.1688455534012154,148,-1.1199163004283859,187,-1.2422549732384658,172,-1.2026281236006684,235,-1.1079970018841916,-1.1303391633132474,-1.0584541426901488,-0.8786533359171871,-1.1443809269148006,-1.222441548419567
pGPD-TATA_OP-UAS_ADC,40,29,88,52,22,27,18,1,21,20,12,28,pGPD,TATA_OP,A,D,C,-0.971137834467898,382,-0.879263659970126,297,-0.6532877018120515,241,-0.7226156924958927,406,-0.621894368152132,371,-0.5984499196715931,298,-0.445607238849852,410,-0.46826839910630835,255,-0.4273117265756802,296,-0.4069614706512525,328,-0.4346801033409505,324,-0.45612427088647367,439,-0.925200747219012,-0.6879516971539721,-0.6101721439118626,-0.45693781897808017,-0.4171365986134663,-0.44540218711371204
pGPD-TATA_OP-UAS_BAC,23,38,84,425,19,37,27,10,101,24,120,59,pGPD,TATA_OP,B,A,C,-0.693753488221541,568,-0.5711745616961015,636,-0.5447935108952806,495,-0.5378534851565202,736,-0.5183976857110939,543,-0.41665597370452057,513,-0.3327449075996546,613,-0.22898366857501953,338,-0.3547864876988708,533,-0.48411126354194617,715,-0.37381995679053254,534,-0.47169770885538254,637,-0.6324640249588213,-0.5413234980259004,-0.46752682970780723,-0.28086428808733704,-0.41944887562040845,-0.42275883282295756
pGPD-TATA_OP-UAS_BAF,128,70,165,96,14,27,35,19,64,20,34,196,pGPD,TATA_OP,B,A,F,-0.47541456701926765,1586,-0.43523175283457216,1510,-0.6184886802989189,1189,-0.6043374009777772,1412,-0.4971937977293248,1002,-0.3930527258198942,963,-0.4100551144157533,1066,-0.46244667378196436,740,-0.4943537568955248,895,-0.4330438537396056,814,-0.5816852335681733,898,-0.4829330400797198,859,-0.4553231599269199,-0.611413040638348,-0.4451232617746095,-0.43625089409885887,-0.4636988053175652,-0.5323091368239465
pGPD-TATA_OP-UAS_BBC,105,116,132,426,314,261,97,309,237,112,83,216,pGPD,TATA_OP,B,B,C,-0.9829294316843913,1003,-0.9828628205818353,598,-0.7345266541628284,857,-0.798904329860313,939,-0.658764000183216,930,-0.5303020230763513,889,-0.5988839458912756,748,-0.5623789081348654,575,-0.5554327653647977,844,-0.6013523254719202,923,-0.6076697509106579,945,-0.6921323312166986,1097,-0.9828961261331133,-0.7667154920115706,-0.5945330116297837,-0.5806314270130705,-0.5783925454183589,-0.6499010410636783
pGPD-TATA_OP-UAS_BBF,35,82,90,292,11,2,1,3,0,5,161,8,pGPD,TATA_OP,B,B,F,-0.9834282077499121,185,-0.810867253518348,179,-0.9700908103314289,251,-0.8530819223247514,193,-0.8884062704066186,271,-0.7834209185380239,137,-0.8549735440436709,251,-0.9080166871951103,150,-0.8763421787011223,237,-0.9463982408616685,233,-0.8299430501210027,181,-0.9118913096912127,224,-0.89714773063413,-0.9115863663280901,-0.8359135944723213,-0.8814951156193906,-0.9113702097813954,-0.8709171799061077
pGPD-TATA_OP-UAS_BDC,70,43,145,307,63,57,69,23,127,45,43,24,pGPD,TATA_OP,B,D,C,-0.9266509536520151,489,-0.8955304855987634,567,-0.6814999291083123,426,-0.6565126125863534,639,-0.6120761006725393,628,-0.5142497353839761,504,-0.46210209680645187,639,-0.5493156141840655,439,-0.28869221183091653,492,-0.4217799835681565,626,-0.3873801361160586,592,-0.4951956957633151,658,-0.9110907196253892,-0.6690062708473328,-0.5631629180282577,-0.5057088554952587,-0.3552360976995365,-0.44128791593968686
pGPD-TATA_OP-UAS_BDD,63,18,104,8,10,1,25,2,38,17,9,41,pGPD,TATA_OP,B,D,D,-0.906939468823919,500,-0.8658555262124147,405,-0.86724258989926,334,-0.7804138698673676,608,-0.7984010355178168,229,-0.6722982240675397,245,-0.8849621458181878,250,-0.8239809536174619,201,-0.679162104864425,222,-0.7838946903134812,317,-0.772568365454669,251,-0.7494910837405108,364,-0.8863974975181668,-0.8238282298833137,-0.7353496297926783,-0.8544715497178248,-0.731528397588953,-0.7610297245975899
pGPD-TATA_OP-UAS_BEC,1,11,11,12,10,2,0,0,14,8,6,11,pGPD,TATA_OP,B,E,C,-0.6073310513007695,191,-0.6113960531894099,203,-0.5469721861755494,182,-0.4387003460773506,195,-0.29936402780346827,154,-0.1769026146060821,175,-0.36297378236799194,136,-0.17936441341460316,123,-0.3955465000810391,149,-0.49516227929057777,169,-0.249751274314458,161,-0.36685026746988936,162,-0.6093635522450898,-0.49283626612645004,-0.23813332120477518,-0.27116909789129756,-0.4453543896858084,-0.30830077089217367
pGPD-TATA_OP-UAS_CAC,3591,2683,5186,4281,1849,3363,2037,1178,3210,6130,2824,4359,pGPD,TATA_OP,C,A,C,-1.5310409495028983,33242,-1.490826878429856,29755,-1.4944214899578177,39906,-1.5251092946549787,42062,-1.5401493699404247,30844,-1.5558056554485895,26638,-1.5570187109106481,28927,-1.5483650394796402,31841,-1.5765639514320307,40856,-1.552364080117298,32795,-1.5632278257068208,38230,-1.5484641752492618,51456,-1.510933913966377,-1.5097653923063983,-1.5479775126945072,-1.5526918751951442,-1.5644640157746643,-1.5558460004780414
pGPD-TATA_OP-UAS_CAF,37,31,42,38,7,28,16,4,16,20,12,15,pGPD,TATA_OP,C,A,F,-1.3686403892709604,263,-1.2929941023532856,284,-1.2566631903922953,219,-1.2710507186927915,299,-1.2944533816746302,176,-1.0721256001923354,139,-1.2313577159082731,147,-1.3834543585209158,114,-1.3106679959093925,181,-1.3354804357045582,185,-1.241309189886744,220,-1.2881005254061146,263,-1.330817245812123,-1.2638569545425433,-1.1832894909334828,-1.3074060372145944,-1.3230742158069755,-1.2647048576464295
pGPD-TATA_OP-UAS_CBC,141,103,196,142,224,70,34,169,232,179,79,71,pGPD,TATA_OP,C,B,C,-1.0926336381248916,413,-0.9832175928396486,423,-0.9960058852082235,278,-1.0057457344740341,427,-1.0995773046329265,294,-0.8841440691853093,248,-0.9166538573605683,330,-0.984447977495432,183,-1.036778296258133,342,-0.9374130110346386,292,-0.9804638407316406,274,-0.9748351126346291,323,-1.03792561548227,-1.0008758098411288,-0.9918606869091179,-0.9505509174280001,-0.9870956536463857,-0.9776494766831348
pGPD-TATA_OP-UAS_CBD,494,713,1329,1077,311,289,531,884,1163,1471,1240,297,pGPD,TATA_OP,C,B,D,-1.408744043560957,2158,-1.3272338414374,2152,-1.371376417609615,508,-1.2698281350795442,850,-1.3612371580516542,157,-1.4647734773071586,154,-1.2483248698306022,218,-1.267789981497334,144,-1.3882059683413521,195,-1.3772438419875273,203,-1.3390365695671642,145,-1.456272337172116,156,-1.3679889424991787,-1.3206022763445797,-1.4130053176794064,-1.258057425663968,-1.3827249051644397,-1.3976544533696402
pGPD-TATA_OP-UAS_CCC,58,23,42,30,18,12,11,2,13,137,18,43,pGPD,TATA_OP,C,C,C,-1.0892467042608338,171,-0.9948508880228427,168,-0.9782191898328201,164,-1.0775179100464816,207,-0.9304548865969532,157,-0.8285141458124182,153,-0.8194806628540854,167,-0.8699693325880652,194,-0.9829154224071035,144,-0.9345087352235364,166,-1.055720939833737,172,-1.0131142880798647,194,-1.0420487961418383,-1.027868549939651,-0.8794845162046857,-0.8447249977210753,-0.95871207881532,-1.0344176139568009
pGPD-TATA_OP-UAS_CDC,31,20,35,265,10,21,22,1,18,15,2,31,pGPD,TATA_OP,C,D,C,-1.150974009996274,239,-1.0690151030974642,222,-0.9657907623877451,238,-1.0158294651744324,316,-0.7524102299438307,239,-0.9025851208666369,245,-0.8423094990674287,261,-0.6787906707815821,206,-0.7333577210938734,216,-0.7345765869659318,266,-0.6683242232691723,291,-0.8562578174150277,277,-1.109994556546869,-0.9908101137810887,-0.8274976754052338,-0.7605500849245054,-0.7339671540299026,-0.7622910203421001
pGPD-TATA_OP-UAS_CFA,13,73,32,123,5,6,18,2,6,2,1,9,pGPD,TATA_OP,C,F,A,-0.9363163064862052,374,-0.7754128734155953,287,-0.7986655227976788,351,-0.8335510362194211,528,-0.8368176553093228,275,-0.8058975572257151,148,-0.7420686214337872,179,-0.697306837480885,117,-0.8530435256683223,225,-0.8224587343940947,176,-0.7455605444739339,433,-0.7399098094238997,282,-0.8558645899509003,-0.8161082795085499,-0.821357606267519,-0.7196877294573361,-0.8377511300312085,-0.7427351769489168
pGPD-TATA_OP-UAS_DAC,154,91,145,223,83,65,63,34,64,77,89,61,pGPD,TATA_OP,D,A,C,-0.8072148167861275,1907,-0.7480896417231524,2004,-0.7340952657301929,1570,-0.7017219148770169,2020,-0.7149862758066529,1530,-0.6388927897364273,1205,-0.624945833934115,1267,-0.6798507432551738,848,-0.6219404865013417,1388,-0.6415762560368972,1420,-0.6045479980233033,1352,-0.670818236681807,1470,-0.77765222925464,-0.7179085903036049,-0.6769395327715401,-0.6523982885946444,-0.6317583712691195,-0.6376831173525551
pGPD-TATA_OP-UAS_DAD,6250,5291,10815,9578,4335,4888,4039,3361,6902,5829,4166,5410,pGPD,TATA_OP,D,A,D,-0.789778038193738,349933,-0.7872948558006261,322038,-0.7880225436476553,303117,-0.7816561188354741,363021,-0.7576003175857302,222218,-0.7469285090484723,171389,-0.7339379493450173,183857,-0.7640940156687817,108406,-0.7125715008197554,172457,-0.7308611708378555,157279,-0.7013885583698404,151461,-0.7249076699469708,184105,-0.7885364469971821,-0.7848393312415647,-0.7522644133171013,-0.7490159825068995,-0.7217163358288055,-0.7131481141584055
pGPD-TATA_OP-UAS_DAE,9,39,50,70,9,13,22,5,5,23,9,14,pGPD,TATA_OP,D,A,E,-0.8108322129373615,588,-0.7561134004095886,617,-0.8356321545581273,367,-0.801834951412594,485,-0.8038114783722065,243,-0.9596991869470619,201,-0.7124467097212583,238,-0.8489850940227799,123,-0.7138508550620761,249,-0.7542018174121168,215,-0.8040115414142471,304,-0.7445915811144059,263,-0.7834728066734751,-0.8187335529853607,-0.8817553326596341,-0.7807159018720191,-0.7340263362370965,-0.7743015612643265
pGPD-TATA_OP-UAS_DAF,130,50,97,46,17,37,78,1111,71,39,84,215,pGPD,TATA_OP,D,A,F,-0.7787211147815296,1658,-0.7879370569629038,1442,-0.8370778226803152,1129,-0.7900542460056058,1304,-0.8328634345054431,662,-0.796502644455434,660,-0.6896014014257785,649,-0.793265003750271,489,-0.760557579615925,694,-0.7598644282972852,653,-0.7235554068967216,629,-0.7232285033843913,690,-0.7833290858722167,-0.8135660343429605,-0.8146830394804385,-0.7414332025880248,-0.760211003956605,-0.7233919551405564
pGPD-TATA_OP-UAS_DBC,14,17,97,29,13,11,10,1,35,16,40,42,pGPD,TATA_OP,D,B,C,-0.8947918944804272,341,-0.8104061436461716,364,-0.8411590943198428,309,-0.8017405021447555,354,-0.7151044268900169,237,-0.7069425362998344,237,-0.7311553179815,261,-0.6029372656803791,153,-0.5965839085396049,247,-0.7016126713592523,275,-0.6020346368687245,248,-0.7482108612555642,312,-0.8525990190632994,-0.8214497982322991,-0.7110234815949257,-0.6670462918309396,-0.6490982899494286,-0.6751227490621443
pGPD-TATA_OP-UAS_DCC,34,37,45,14,33,28,16,3,12,20,100,15,pGPD,TATA_OP,D,C,C,-0.8836551767111257,400,-0.7321708325651952,462,-0.8216016018969864,331,-0.8730772504748232,352,-0.7004722988094589,194,-0.8056903390774356,331,-0.5519656556440676,245,-0.639172608440364,176,-0.7057656862950531,272,-0.7986528488756356,349,-0.7269420174522823,293,-0.6698230101299354,304,-0.8079130046381604,-0.8473394261859049,-0.7530813189434473,-0.5955691320422158,-0.7522092675853443,-0.6983825137911088
pGPD-TATA_OP-UAS_DCD,23,50,40,6,12,9,15,709,90,20,32,41,pGPD,TATA_OP,D,C,D,-0.9551879347642309,311,-0.8309150390374981,299,-0.8987116890660147,245,-0.8900783342928528,328,-0.9010181515180816,179,-0.7477913926284754,131,-0.7278527662704942,189,-0.7443146623938575,152,-0.8457529007753881,187,-0.8728846224272039,214,-0.8331356110184784,200,-0.7525259358428374,196,-0.8930514869008646,-0.8943950116794337,-0.8244047720732786,-0.7360837143321759,-0.859318761601296,-0.7928307734306579
pGPD-TATA_OP-UAS_DDC,16,31,70,12,22,35,2,0,9,5,9,5,pGPD,TATA_OP,D,D,C,-0.7534591511746864,271,-0.7752343706052502,265,-0.585934867296198,216,-0.7213681737430307,285,-0.5550323903683674,193,-0.5285632610907155,205,-0.523773882738303,221,-0.5512852321003207,106,-0.5705633686760547,207,-0.49755731696515093,228,-0.4741591488486211,196,-0.4626380153374303,224,-0.7643467608899683,-0.6536515205196144,-0.5417978257295415,-0.5375295574193119,-0.5340603428206028,-0.4683985820930257
pGPD-TATA_OP-UAS_DEC,12,21,34,20,15,9,4,8,12,29,5,13,pGPD,TATA_OP,D,E,C,-0.988921674439522,358,-0.839692779079249,315,-0.6889137053709314,234,-0.8266486763562735,402,-0.7099291792622987,233,-0.6292483482495917,201,-0.6852181768153836,203,-0.7410554477299364,155,-0.6361773156235239,193,-0.6416584455703971,232,-0.6819634731542126,237,-0.7402932150032182,315,-0.9143072267593855,-0.7577811908636025,-0.6695887637559452,-0.71313681227266,-0.6389178805969604,-0.7111283440787154
pGPD-TATA_OP-UAS_DFC,70,15,65,53,11,147,13,10,92,10,38,25,pGPD,TATA_OP,D,F,C,-0.7678414867027942,695,-0.745846202121873,545,-0.6394928038803944,334,-0.6947031126584158,554,-0.7172245471462921,341,-0.7599648550319233,262,-0.5918530298489406,250,-0.6408438044081367,194,-0.6206659912271002,471,-0.6094468758601088,344,-0.5709073486967396,397,-0.6950303771656016,329,-0.7568438444123335,-0.6670979582694051,-0.7385947010891077,-0.6163484171285387,-0.6150564335436045,-0.6329688629311706
pGPD-TATA_OP-UAS_EAC,49,25,36,22,13,13,11,67,12,20,10,10,pGPD,TATA_OP,E,A,C,-0.9319891676034794,239,-0.8898608943525091,220,-0.7980822747253247,230,-0.7676758480389839,295,-0.5703159238581633,225,-0.55467192839967,220,-0.3451364601980292,190,-0.5699115951920245,172,-0.4246923301320591,215,-0.5407634793264022,209,-0.38633559262620976,232,-0.4934762831541505,226,-0.9109250309779943,-0.7828790613821544,-0.5624939261289166,-0.45752402769502687,-0.48272790472923066,-0.4399059378901801
pGPD-TATA_OP-UAS_EAD,32,15,28,23,8,21,22,6,6,55,17,7,pGPD,TATA_OP,E,A,D,-1.020466564646281,321,-0.8667767836373506,378,-1.0504590843377415,193,-0.9411692046373001,278,-0.9819050732418313,203,-0.8104989837281036,149,-0.8490635484336941,205,-0.9372885602851309,155,-0.9777241370916752,411,-0.9674685990420159,214,-0.8138441232208838,221,-0.9580322722607151,374,-0.9436216741418157,-0.9958141444875208,-0.8962020284849674,-0.8931760543594125,-0.9725963680668455,-0.8859381977407994
pGPD-TATA_OP-UAS_EAF,71,50,109,26,218,17,18,4,176,7,7,107,pGPD,TATA_OP,E,A,F,-0.9018108185311362,273,-0.9000539182262077,233,-0.9539049297377424,262,-0.928740978692491,252,-0.7510115121494975,208,-0.8481331998332018,135,-1.0265214889842968,203,-0.8944221902772982,111,-0.7936523952284322,162,-0.8532132866321677,172,-0.7988531326915446,221,-0.8686381912718922,160,-0.900932368378672,-0.9413229542151167,-0.7995723559913497,-0.9604718396307975,-0.8234328409303,-0.8337456619817184
pGPD-TATA_OP-UAS_EBC,35,41,61,42,13,22,46,3,13,22,13,37,pGPD,TATA_OP,E,B,C,-1.0415219941117266,361,-0.9208551875029436,375,-0.7494920361047723,224,-0.831326851668204,433,-0.696885245552794,370,-0.5438907896007177,278,-0.6568489055327441,301,-0.7743718618234279,206,-0.5949913471087127,301,-0.5850775679439902,320,-0.5730971418204951,404,-0.6016900310343752,365,-0.9811885908073351,-0.7904094438864881,-0.6203880175767558,-0.715610383678086,-0.5900344575263514,-0.5873935864274351
pGPD-TATA_OP-UAS_EDC,24,19,26,22,12,17,10,2,13,12,6,15,pGPD,TATA_OP,E,D,C,-0.9918280008357354,250,-0.7516668718315518,275,-0.6122005249338364,210,-0.6872867145238967,286,-0.7013553494008282,233,-0.4643102760497901,234,-0.6072915755725136,238,-0.4732715523867202,152,-0.38080735022409185,193,-0.42129550288258333,241,-0.42802419299066546,226,-0.565025570406914,273,-0.8717474363336436,-0.6497436197288665,-0.5828328127253092,-0.5402815639796169,-0.4010514265533376,-0.4965248816987897
pGPD-TATA_OP-UAS_EDD,112,50,36,33,13,30,33,0,18,659,31,11,pGPD,TATA_OP,E,D,D,-0.9874014815538301,287,-0.9318426693413995,274,-0.9810782280267398,237,-1.06300937114014,321,-1.0771045630298446,194,-0.865575658698432,154,-1.0545684625852063,226,-1.1770843133899693,122,-1.0257881963351207,173,-0.9370610009845894,224,-0.977663927580583,140,-0.9994089625312128,160,-0.9596220754476148,-1.02204379958344,-0.9713401108641383,-1.1158263879875878,-0.9814245986598551,-0.9885364450558979
pGPD-TATA_OP-UAS_FAC,70,87,76,100,34,44,229,477,474,68930,564,788,pGPD,TATA_OP,F,A,C,-0.342711480669772,1137,-0.33079471747675476,964,-0.43208934791367665,868,-0.29572907747555255,1167,-0.19308994401314397,783,-0.30619051262948443,788,-0.16933093157505053,896,-0.24802845484473346,765,-0.198227158325158,745,-0.12022485238537303,822,-0.20872064604522295,724,-0.1520080056134409,830,-0.33675309907326334,-0.3639092126946146,-0.24964022832131422,-0.208679693209892,-0.15922600535526552,-0.18036432582933193
pGPD-TATA_OP-UAS_FAD,16,17,26,31,2,18,7,179,36,102,36,48,pGPD,TATA_OP,F,A,D,-0.5915851869098734,355,-0.43645871007411297,371,-0.3860095755883994,255,-0.5078949416828306,381,-0.71757447210325,264,-0.4076547983113777,184,-0.33773909955983805,194,-0.3690055228921607,167,-0.44059592628634986,200,-0.45682224166885765,210,-0.7779478191530553,174,-0.46182875193851236,205,-0.5140219484919932,-0.44695225863561494,-0.5626146352073138,-0.3533723112259994,-0.4487090839776038,-0.6198882855457839
pGPD-TATA_OP-UAS_FAF,1874,2971,3797,3361,2401,2994,1206,948,3803,5278,1431,3841,pGPD,TATA_OP,F,A,F,0.026665207287157777,49240,0.013136326610757528,45685,0.031579043645498156,43965,0.02985673076251604,49397,0.05169704942867345,26867,0.06415224399662137,24217,0.06955653180376101,26988,0.07813381054332683,31212,0.08320197635308227,30805,0.08887015692365838,28499,0.10267293850668538,23668,0.08403571817486187,29026,0.019900766948957652,0.0307178872040071,0.05792464671264741,0.07384517117354392,0.08603606663837032,0.09335432834077362
pGPD-TATA_OP-UAS_FBC,223,196,342,261,131,311,72,54,105,1176,115,111,pGPD,TATA_OP,F,B,C,-0.4692740942686918,2861,-0.409576796620958,2595,-0.5700096179294702,1607,-0.4989302050723573,1924,-0.4899581654170334,1308,-0.3845298342514115,1268,-0.4388021764624752,1608,-0.4186406661873149,1056,-0.42402181105587927,1474,-0.45008853935850796,1619,-0.4156705605541111,1351,-0.480130154311726,1731,-0.43942544544482487,-0.5344699115009137,-0.43724399983422246,-0.42872142132489505,-0.4370551752071936,-0.44790035743291856
pGPD-TATA_OP-UAS_FDC,23,37,56,16,2,17,8,2,12,31,167,18,pGPD,TATA_OP,F,D,C,-0.8793487738909668,223,-0.7776837752274459,119,-0.4550680408100949,162,-0.3027392465373188,200,-0.5123405837277075,208,-0.5135736583369285,225,-0.2244607458885362,209,-0.4054735481018317,161,-0.4905636425366027,213,-0.36941316588714224,200,-0.4098840128245012,168,-0.37452230103209094,210,-0.8285162745592063,-0.3789036436737069,-0.512957121032318,-0.31496714699518397,-0.42998840421187245,-0.3922031569282961
pGPD-TATA_OP-UAS_FEC,12,21,60,119,5,20,9,4,8,78,102,191,pGPD,TATA_OP,F,E,C,-0.8056742653462992,180,-0.8001177375755744,165,-0.8960093102403517,205,-0.7568265678918008,219,-0.536677108599851,166,-0.503763389787786,114,-0.5681276373147279,156,-0.5813506459329065,111,-0.4575709569776081,154,-0.46888175597626197,167,-0.457015087061831,146,-0.5519660187404486,180,-0.8028960014609368,-0.8264179390660762,-0.5202202491938185,-0.5747391416238172,-0.463226356476935,-0.5044905529011399
pGPD-OP_TATA_OP-UAS_AAC,47,32,58,36,35,22,23,13,20,18,18,13,pGPD,OP_TATA_OP,A,A,C,-1.3466453375955483,260,-1.239716067462872,273,-1.297121543510367,243,-1.274681008982138,242,-1.3260499979557199,192,-1.2418206230833504,163,-1.2064791290578614,187,-1.3043448069086512,185,-1.1679951455655517,246,-1.2709424433440029,263,-1.2828973108326882,257,-1.2919461357171318,287,-1.2931807025292101,-1.2859012762462525,-1.283935310519535,-1.2554119679832563,-1.2194687944547773,-1.28742172327491
pGPD-OP_TATA_OP-UAS_AAF,14,4,34,9,7,6,12,2,10,3,5,14,pGPD,OP_TATA_OP,A,A,F,-1.272917846320521,224,-1.238854745657131,211,-1.265896715440374,143,-1.3377053340163394,154,-1.3221619572553889,139,-1.2449393698958078,120,-1.195518530583442,136,-1.3028093352904253,131,-1.179710544415661,166,-1.3406336225808881,200,-1.3622491185387304,136,-1.2846342883466133,169,-1.2558862959888262,-1.3018010247283567,-1.2835506635755984,-1.2491639329369337,-1.2601720834982746,-1.323441703442672
pGPD-OP_TATA_OP-UAS_ABC,77,77,105,354,121,49,39,5,48,62,35,25,pGPD,OP_TATA_OP,A,B,C,-1.2191170210676434,679,-1.243750111824982,547,-1.1482204292735227,471,-1.1932444980650008,581,-1.1413737180922487,381,-1.0085422809964373,313,-1.0839988327577859,387,-1.0559985927163376,300,-1.1707590397277103,425,-1.1920245773088987,506,-1.2670789891829706,416,-1.1399626796794218,474,-1.2314335664463127,-1.1707324636692618,-1.074957999544343,-1.0699987127370618,-1.1813918085183044,-1.2035208344311963
pGPD-OP_TATA_OP-UAS_ABD,58,34,71,53,41,24,28,2,49,12,34,15,pGPD,OP_TATA_OP,A,B,D,-1.3961170788078827,340,-1.337465939111173,292,-1.3918339804423132,213,-1.4307953176294241,267,-1.403858677178498,243,-1.3791476493660755,155,-1.3743716673356223,171,-1.4729545121926302,173,-1.3839676508868604,270,-1.378758661902722,267,-1.4418957217243342,224,-1.3841092773995112,284,-1.366791508959528,-1.4113146490358686,-1.3915031632722867,-1.4236630897641263,-1.3813631563947912,-1.4130024995619226
pGPD-OP_TATA_OP-UAS_ACC,83,54,114,122,36,78,105,14,33,20,29,41,pGPD,OP_TATA_OP,A,C,C,-1.3096433535751624,454,-1.2202074665615128,420,-1.2082387825177698,359,-1.187668984598917,415,-1.1127865270572084,285,-1.1097683819273838,228,-1.0849028371859235,233,-1.1901043245625396,235,-1.2297220840813912,266,-1.1800872194353125,318,-1.2302746286883597,284,-1.199800282761286,357,-1.2649254100683376,-1.1979538835583434,-1.111277454492296,-1.1375035808742315,-1.2049046517583517,-1.215037455724823
pGPD-OP_TATA_OP-UAS_ACD,47,62,73,44,22,47,23,5,20,15,21,15,pGPD,OP_TATA_OP,A,C,D,-1.2275042880054856,278,-1.1781190034627658,263,-1.090311791106748,202,-1.1407022655948604,271,-1.2356355341092748,181,-1.0342533341228006,146,-1.0655693457813755,161,-1.1371492324740076,144,-1.2118026414626986,183,-1.2602991078506367,182,-1.1730061861304812,173,-1.1547113647372886,224,-1.2028116457341258,-1.1155070283508042,-1.1349444341160377,-1.1013592891276915,-1.2360508746566676,-1.163858775433885
pGPD-OP_TATA_OP-UAS_ADC,147,124,233,152,118,117,99,16,65,53,89,83,pGPD,OP_TATA_OP,A,D,C,-1.1907539654990567,1011,-1.1332338435503215,961,-1.1225313753561186,690,-1.14516291638921,792,-1.2282902018371469,559,-1.1306387755675644,501,-1.012488776395367,563,-1.1098987245678997,495,-1.1073454204818773,596,-1.0915903603182997,635,-1.18677796594472,630,-1.1708468858126628,686,-1.1619939045246892,-1.1338471458726644,-1.1794644887023558,-1.0611937504816333,-1.0994678904000885,-1.1788124258786914
pGPD-OP_TATA_OP-UAS_ADF,30,56,73,33,14,26,29,3,20,20,39,46,pGPD,OP_TATA_OP,A,D,F,-1.3487988691809893,311,-1.2755560099317536,298,-1.2456008722066865,257,-1.1922067611499028,276,-1.29540309432706,248,-1.2207940620613935,188,-1.2135923173160572,134,-1.1950315697408107,140,-1.31166944333564,189,-1.262852810160606,244,-1.1852708257194178,235,-1.2727334906217924,255,-1.3121774395563714,-1.2189038166782946,-1.2580985781942267,-1.204311943528434,-1.287261126748123,-1.229002158170605
pGPD-OP_TATA_OP-UAS_AEC,103,131,183,147,84,126,98,20,66,55,59,66,pGPD,OP_TATA_OP,A,E,C,-1.3753166323474733,1095,-1.3609671712234956,997,-1.2819488215321428,708,-1.3209920887190587,789,-1.336282111480211,715,-1.250249061854935,436,-1.2439065440236197,521,-1.1966760680049402,435,-1.2326336933412603,597,-1.2509957149065185,619,-1.276443749687636,590,-1.2448075879579807,676,-1.3681419017854846,-1.301470455125601,-1.293265586667573,-1.22029130601428,-1.2418147041238894,-1.2606256688228084
pGPD-OP_TATA_OP-UAS_AED,73,71,190,98,56,307,51,10,52,87,71,106,pGPD,OP_TATA_OP,A,E,D,-1.4676575345814213,596,-1.3771030333207703,572,-1.3866006300453892,405,-1.4270645840098128,472,-1.428146698951955,458,-1.3347423294712801,306,-1.335474547768831,322,-1.368275857116371,327,-1.4035388793807877,410,-1.4276010415178093,411,-1.3839869110750134,449,-1.3841753229255653,523,-1.422380283951096,-1.4068326070276012,-1.3814445142116174,-1.351875202442601,-1.4155699604492984,-1.3840811170002894
