Combination,Q2_0A,Q2_1A,Q2_2A,Q2_3A,Q2_5A,Q2_8A,Q2_0B,Q2_1B,Q2_2B,Q2_3B,Q2_5B,Q2_8B,TR_Pro,Core_pro_design,1st_UAS,2nd_UAS,3rd_UAS,miu_Lib_0A,reads_sum_0A,miu_Lib_0B,reads_sum_0B,miu_Lib_1A,reads_sum_1A,miu_Lib_1B,reads_sum_1B,miu_Lib_2A,reads_sum_2A,miu_Lib_2B,reads_sum_2B,miu_Lib_3A,reads_sum_3A,miu_Lib_3B,reads_sum_3B,miu_Lib_5A,reads_sum_5A,miu_Lib_5B,reads_sum_5B,miu_Lib_8A,reads_sum_8A,miu_Lib_8B,reads_sum_8B,miu_Lib_0,miu_Lib_1,miu_Lib_2,miu_Lib_3,miu_Lib_5,miu_Lib_8
pULI1-N30_OP-UAS_ACF,1485,1936,1793,3334,390,637,1261,381,2301,1227,859,1296,pULI1,N30_OP,A,C,F,0.019638998850610604,35337,0.002246019679276349,33711,0.05520032661064246,37779,0.05101404005315801,43466,0.08863134050951176,27807,0.08117020381400718,27477,0.09080912981625269,31380,0.08122363557522036,29228,0.09778495772805931,26210,0.09279360868199703,21108,0.1237122615794552,20546,0.09391878097044824,26450,0.010942509264943476,0.05310718333190023,0.08490077216175947,0.08601638269573653,0.09528928320502816,0.10881552127495173
pULI1-N30_OP-UAS_ADC,5352,4529,8165,5326,2566,3398,3720,2145,5610,4313,3058,3117,pULI1,N30_OP,A,D,C,0.6344288812235238,269065,0.5619303183493273,264840,0.681675459114577,285736,0.6809500824016623,300831,0.708383490667749,182607,0.7110133332907832,150183,0.7222803902665724,169949,0.6842558759489138,167628,0.7331834723161668,133276,0.6935413477741046,150794,0.7350743819462943,111009,0.7254946808493126,154891,0.5981795997864255,0.6813127707581197,0.7096984119792661,0.703268133107743,0.7133624100451357,0.7302845313978035
pULI1-N30_OP-UAS_ADD,1208,1099,1797,1405,561,388,916,443,1349,609,410,130,pULI1,N30_OP,A,D,D,0.05906438412440991,31944,0.033872834842979496,27767,0.10237342654440566,27750,0.09342992087720148,33959,0.11828711223161903,19766,0.1172263311163603,17332,0.11689622439920744,23589,0.11529975581288299,20863,0.1260584986696723,17858,0.11836048201429877,17861,0.13989210334387098,14828,0.12076502281837864,18295,0.0464686094836947,0.09790167371080358,0.11775672167398966,0.11609799010604521,0.12220949034198554,0.1303285630811248
pULI1-N30_OP-UAS_ADE,12,13,8,7,2,9,8,1,3,6,3,7,pULI1,N30_OP,A,D,E,0.13467222488710184,210,0.13284968440602118,289,0.33054733031045846,297,0.4102865019677427,337,0.34100998249038944,181,0.3855014072001485,179,0.2831176102153592,205,0.43994808159036825,175,0.42319647285612144,159,0.3256852337875976,213,0.5029198007042028,138,0.4435907090217863,148,0.13376095464656151,0.37041691613910055,0.363255694845269,0.3615328459028637,0.3744408533218595,0.4732552548629946
pULI1-N30_OP-UAS_ADF,1028,927,1625,914,538,571,1012,287,1189,487,288,593,pULI1,N30_OP,A,D,F,0.1347571464983339,45315,0.24180789072690576,85488,0.2662079579824076,64967,0.18998051531630453,52745,0.26368488741772833,38373,0.24627378350673162,33551,0.24406258186214352,39690,0.24480759183694212,37490,0.30713979764169885,37108,0.2731708235009366,34542,0.36818359674132695,34034,0.29008610027509035,33570,0.18828251861261983,0.22809423664935607,0.25497933546222995,0.24443508684954282,0.2901553105713177,0.3291348485082086
pULI1-N30_OP-UAS_AEC,1288,1767,2589,1743,1273,1390,965,519,1958,1311,1123,968,pULI1,N30_OP,A,E,C,0.4868196950637789,50470,0.4415446186774191,51199,0.5585429895749148,71255,0.5605973718252121,68288,0.6231538243408444,53973,0.6321428169951977,45531,0.6119273421905298,45227,0.6224806059389276,56732,0.654928050978508,36773,0.5948735325568137,44578,0.6325634840428747,32041,0.6424383732746083,42483,0.46418215687059905,0.5595701807000635,0.627648320668021,0.6172039740647287,0.6249007917676609,0.6375009286587414
pULI1-N30_OP-UAS_AED,780,1223,1498,1914,529,1034,652,804,1169,577,543,886,pULI1,N30_OP,A,E,D,-0.09907906840741021,16436,-0.0982606355276608,16306,-0.073459176503498,17569,-0.06989562238145261,18739,-0.0551870390230539,15361,-0.04167834564290697,12550,-0.04576263860812938,15719,-0.04831132471808614,15832,-0.01573879758422175,12564,-0.05533133044499451,11654,-0.012542449297769138,10890,-0.0411176112651198,12339,-0.0986698519675355,-0.07167739944247531,-0.048432692332980434,-0.04703698166310776,-0.03553506401460813,-0.02683003028144447
pULI1-N30_OP-UAS_AEF,947,1105,2111,1254,489,923,719,1273,1529,715,700,1232,pULI1,N30_OP,A,E,F,-0.04726239960187411,17984,-0.030654076073200635,19517,0.010787548208419706,22881,0.012905222724604553,24130,0.018718249487525162,17433,0.03814437129990979,14910,0.04742802231282169,17552,0.03599085273877288,17483,0.06621149047312766,14552,0.05616765922727061,14695,0.07022402562584147,12454,0.056541207259925085,14527,-0.03895823783753737,0.011846385466512128,0.028431310393717477,0.04170943752579728,0.06118957485019913,0.06338261644288327
pULI1-N30_OP-UAS_AFA,218,301,442,532,229,238,323,5,258,111,89,283,pULI1,N30_OP,A,F,A,0.41864968253155455,11340,0.36512874894356007,9180,0.4441538935305258,10434,0.45278170159949693,10310,0.4585514689277302,7253,0.4671213610256055,5951,0.4620310182262148,7244,0.43809605788462336,7440,0.491333403943667,6774,0.4550250458218547,7260,0.5222006747718081,4095,0.5067646075447781,7362,0.3918892157375573,0.4484677975650114,0.46283641497666783,0.4500635380554191,0.4731792248827609,0.5144826411582931
pULI1-N30_OP-UAS_AFC,4355,3502,7111,6123,2144,3021,3550,1489,5042,3460,2395,3382,pULI1,N30_OP,A,F,C,0.643992043467757,300477,0.5715634530003646,301991,0.6908217104267016,325248,0.6895858904326243,340662,0.7218382569565414,209449,0.7178099163775689,177386,0.7320993705119684,186515,0.6904733920914183,202559,0.7389340926031874,150447,0.702344982412588,175105,0.745256285645692,124383,0.7330616028858986,172276,0.6077777482340607,0.6902038004296629,0.7198240866670551,0.7112863813016934,0.7206395375078878,0.7391589442657953
